年月,日,3-1氣温(℃)-平均
200002,16,-4.5
200002,25,-3
200002,22,-2.7
200002,17,-2.6
200002,29,-2.4
200002,24,-1.9
200002,18,-1.7
200002,15,-1.6
200002,21,-1.5
200002,23,-1.4
200002,10,-1
200002,28,-0.9
200002,26,-0.3
200002,19,-0.2
200002,9,-0.1
200002,27,0
200002,1,0.3
200002,13,0.5
200002,20,0.5
200002,6,0.9
200002,11,1.3
200002,4,2.2
200002,7,2.4
200002,12,2.4
200002,14,2.4
200002,3,2.6
200002,2,2.8
200002,5,2.8
200002,8,3.8
200003,9,-2.7
200003,10,-2.5
200003,1,-1.2
200003,8,-0.9
200003,16,-0.3
200003,26,-0.3
200003,13,-0.1
200003,14,-0.1
200003,7,0.8
200003,17,1.1
200003,25,1.1
200003,15,1.8
200003,12,2.2
200003,6,2.4
200003,27,2.4
200003,4,2.6
200003,11,2.7
200003,22,2.9
200003,21,3.3
200003,20,3.4
200003,2,3.6
200003,23,4.5
200003,3,4.7
200003,24,4.7
200003,5,4.8
200003,18,5.2
200003,28,6
200003,30,6.4
200003,31,9.3
200003,19,9.6
200003,29,10.3
200004,3,5
200004,11,5.1
200004,2,5.8
200004,1,6
200004,16,6.6
200004,17,6.6
200004,4,7
200004,5,7.4
200004,8,7.5
200004,6,7.6
200004,12,7.8
200004,15,7.8
200004,20,8.2
200004,9,8.7
200004,7,8.8
200004,18,9.8
200004,14,10
200004,28,10.4
200004,23,10.5
200004,26,10.5
200004,27,10.5
200004,21,10.7
200004,13,11
200004,29,11.4
200004,24,11.6
200004,10,11.9
200004,19,12.1
200004,25,12.2
200004,30,13.3
200004,22,13.6
200005,4,11.5
200005,5,11.6
200005,3,12.7
200005,6,12.9
200005,16,13.2
200005,21,13.5
200005,1,14
200005,2,14.4
200005,20,14.4
200005,7,14.6
200005,17,15
200005,11,15.1
200005,15,15.3
200005,10,15.4
200005,19,15.8
200005,8,15.9
200005,18,16.1
200005,9,16.2
200005,14,16.4
200005,13,16.7
200005,12,17.2
200005,24,17.5
200005,22,18
200005,31,18.4
200005,25,19
200005,23,20
200005,29,20.1
200005,28,21.6
200005,26,22
200005,30,22.9
200005,27,23.5
200006,4,16.3
200006,11,16.6
200006,9,17
200006,5,17.3
200006,10,17.3
200006,2,17.5
200006,14,17.7
200006,12,18
200006,1,18.1
200006,3,18.5
200006,13,19.1
200006,25,19.1
200006,24,19.5
200006,26,20
200006,27,20.4
200006,6,20.9
200006,15,21.3
200006,23,21.4
200006,28,21.5
200006,8,22
200006,17,22.1
200006,7,22.9
200006,29,23.2
200006,16,23.4
200006,18,23.5
200006,19,23.5
200006,21,23.6
200006,20,24.1
200006,22,24.4
200006,30,26.4
200007,8,19.7
200007,26,21.1
200007,5,22
200007,10,22.2
200007,7,22.3
200007,9,22.3
200007,18,22.9
200007,4,23
200007,6,23.2
200007,28,23.5
200007,15,23.6
200007,27,23.9
200007,11,24
200007,25,24.2
200007,13,25.1
200007,12,25.3
200007,29,25.4
200007,19,25.5
200007,16,25.6
200007,3,25.9
200007,20,26.1
200007,14,26.5
200007,1,26.9
200007,2,26.9
200007,21,26.9
200007,22,27.3
200007,17,27.5
200007,24,27.6
200007,30,28
200007,31,29.3
200007,23,30.5
200102,14,-4.4
200102,5,-3.8
200102,12,-3.8
200102,11,-3.6
200102,15,-3.6
200102,4,-3.5
200102,13,-3.5
200102,3,-2.6
200102,2,-2.5
200102,9,-2.4
200102,16,-2.3
200102,6,-2.1
200102,25,-2
200102,26,-2
200102,7,-1.8
200102,8,-1.7
200102,1,-1
200102,10,-1
200102,17,-0.5
200102,20,-0.4
200102,21,0.1
200102,24,0.1
200102,19,1
200102,28,2.1
200102,27,2.2
200102,18,3.7
200102,23,3.9
200102,22,5.3
200103,9,-1.6
200103,11,-1.6
200103,10,-1.4
200103,12,-1.1
200103,8,-0.7
200103,13,0
200103,5,0.2
200103,2,1.1
200103,7,1.3
200103,6,1.4
200103,14,1.4
200103,29,1.4
200103,30,1.8
200103,31,2.2
200103,27,2.5
200103,1,2.6
200103,4,2.7
200103,16,2.7
200103,3,2.8
200103,28,3.1
200103,15,3.5
200103,17,3.7
200103,18,5.9
200103,22,7
200103,23,7.3
200103,26,7.3
200103,21,7.7
200103,24,7.8
200103,25,9.4
200103,19,9.7
200103,20,11.8
200104,1,3.6
200104,4,5.5
200104,3,5.7
200104,21,6.9
200104,22,7.2
200104,2,8.1
200104,13,9.2
200104,20,9.4
200104,5,9.5
200104,26,9.8
200104,6,10.2
200104,7,10.6
200104,25,11
200104,15,11.7
200104,12,11.8
200104,23,12.1
200104,8,12.2
200104,27,12.4
200104,16,12.7
200104,14,13.1
200104,9,13.4
200104,28,13.8
200104,10,14.4
200104,17,14.6
200104,24,14.6
200104,11,14.8
200104,19,15.1
200104,18,15.6
200104,30,15.9
200104,29,17
200105,2,8
200105,3,9.9
200105,1,10.7
200105,4,12.9
200105,11,13.1
200105,5,14.5
200105,9,15
200105,12,15.1
200105,8,15.7
200105,6,16.1
200105,28,16.2
200105,10,16.5
200105,17,16.6
200105,13,16.9
200105,16,16.9
200105,20,16.9
200105,19,17.1
200105,25,17.6
200105,27,17.8
200105,31,17.8
200105,24,17.9
200105,7,18
200105,29,18.6
200105,21,19.2
200105,14,19.3
200105,22,19.3
200105,26,19.3
200105,18,19.5
200105,23,20.9
200105,30,20.9
200105,15,21.1
200106,15,14.6
200106,14,16
200106,12,16.5
200106,11,17.4
200106,13,17.6
200106,7,18.1
200106,16,18.3
200106,10,18.4
200106,6,18.5
200106,21,19.2
200106,8,19.5
200106,22,19.5
200106,1,19.7
200106,2,19.8
200106,9,19.9
200106,25,19.9
200106,17,20.6
200106,20,20.7
200106,23,20.9
200106,3,21.2
200106,5,21.3
200106,19,21.3
200106,18,21.5
200106,24,21.8
200106,4,21.9
200106,29,22.3
200106,27,22.6
200106,30,22.8
200106,26,23.7
200106,28,24.6
200107,28,20.9
200107,7,21.1
200107,27,21.3
200107,29,22.6
200107,6,22.8
200107,2,22.9
200107,19,22.9
200107,1,23.3
200107,8,23.3
200107,4,23.4
200107,26,24
200107,20,24.7
200107,9,24.8
200107,10,25.4
200107,18,25.7
200107,25,25.9
200107,3,26
200107,30,26.1
200107,11,26.5
200107,5,27
200107,16,27
200107,17,27
200107,15,27.3
200107,12,27.4
200107,31,27.4
200107,21,27.5
200107,14,27.6
200107,13,28.2
200107,22,28.3
200107,23,29.4
200107,24,29.6
200202,13,-3
200202,12,-2.8
200202,14,-2.6
200202,10,-2.2
200202,11,-2.2
200202,15,-0.7
200202,19,-0.2
200202,9,0
200202,1,0.1
200202,18,0.1
200202,5,1.1
200202,4,1.3
200202,16,1.4
200202,24,1.5
200202,25,1.7
200202,3,2.5
200202,26,2.5
200202,17,2.6
200202,2,2.7
200202,28,3
200202,23,3.1
200202,7,3.5
200202,27,3.6
200202,6,3.7
200202,20,3.7
200202,22,5.3
200202,8,6
200202,21,6.1
200203,3,0
200203,2,1.6
200203,8,2
200203,24,2.8
200203,4,3.5
200203,11,4.3
200203,23,4.3
200203,5,4.4
200203,7,4.4
200203,25,4.5
200203,13,5
200203,28,5
200203,6,5.5
200203,1,5.6
200203,27,6.1
200203,19,6.5
200203,20,7
200203,12,7.1
200203,16,7.1
200203,29,7.4
200203,10,7.6
200203,9,7.8
200203,26,8
200203,31,8.1
200203,22,8.3
200203,15,8.4
200203,17,8.7
200203,14,9
200203,18,9.2
200203,21,9.3
200203,30,9.8
200204,12,6.9
200204,9,7.9
200204,5,8.9
200204,13,8.9
200204,6,9.2
200204,10,9.3
200204,7,9.6
200204,4,9.8
200204,26,10.1
200204,27,10.2
200204,11,10.6
200204,18,11.3
200204,28,11.8
200204,30,11.8
200204,1,11.9
200204,19,12
200204,25,12.7
200204,14,13
200204,20,13
200204,21,13.4
200204,29,13.5
200204,3,13.7
200204,8,14.4
200204,2,14.6
200204,23,14.7
200204,22,14.9
200204,24,16.4
200204,15,16.6
200204,16,17.7
200204,17,18.4
200205,17,10.6
200205,7,11.8
200205,11,11.8
200205,18,11.9
200205,10,12.3
200205,8,13
200205,6,13.5
200205,9,13.6
200205,15,13.6
200205,13,13.7
200205,20,13.8
200205,1,14.1
200205,14,14.1
200205,2,14.3
200205,16,14.3
200205,12,14.4
200205,21,14.6
200205,27,14.6
200205,26,14.9
200205,19,15.5
200205,28,15.7
200205,25,16.5
200205,22,16.6
200205,24,16.7
200205,5,17
200205,23,17.6
200205,29,17.6
200205,3,17.8
200205,4,17.9
200205,30,19.6
200205,31,20.3
200206,23,14.3
200206,25,14.4
200206,24,15.2
200206,22,15.9
200206,26,16.5
200206,27,16.6
200206,11,17.7
200206,18,17.9
200206,3,18
200206,21,18.7
200206,15,18.8
200206,5,19
200206,2,19.4
200206,4,19.5
200206,12,19.5
200206,13,19.8
200206,28,19.8
200206,6,20
200206,19,20
200206,29,20
200206,14,20.2
200206,20,20.4
200206,9,20.7
200206,17,20.7
200206,30,20.9
200206,1,21.1
200206,16,21.5
200206,10,22
200206,7,22.6
200206,8,23.9
200207,1,19.3
200207,10,19.3
200207,2,20.2
200207,16,20.8
200207,15,21
200207,3,21.2
200207,11,22.2
200207,8,23.8
200207,12,23.8
200207,9,23.9
200207,6,24
200207,17,24.1
200207,4,24.4
200207,28,24.5
200207,7,24.7
200207,14,25
200207,5,25.1
200207,29,25.4
200207,19,25.6
200207,22,25.9
200207,30,26.1
200207,13,26.2
200207,21,26.5
200207,24,26.5
200207,18,26.6
200207,25,26.8
200207,23,27.1
200207,20,27.3
200207,31,27.4
200207,27,28
200207,26,29.6
200302,2,-2.4
200302,1,-2
200302,5,-1.7
200302,6,-1.7
200302,13,-1.7
200302,3,-1.6
200302,12,-0.5
200302,27,-0.5
200302,4,-0.4
200302,14,-0.4
200302,24,-0.4
200302,16,-0.1
200302,28,0.3
200302,25,0.6
200302,18,1
200302,19,1.1
200302,22,1.3
200302,21,1.4
200302,15,1.8
200302,17,2.1
200302,20,2.1
200302,23,2.1
200302,11,2.6
200302,26,3.3
200302,10,3.4
200302,9,3.5
200302,7,4.7
200302,8,5.3
200303,4,-3
200303,11,-1.5
200303,5,-1
200303,10,-0.1
200303,12,0.1
200303,1,0.8
200303,13,0.8
200303,8,1
200303,9,1
200303,7,1.5
200303,20,1.5
200303,21,2
200303,6,2.4
200303,19,2.4
200303,14,2.6
200303,15,2.6
200303,17,3.1
200303,22,3.1
200303,18,3.3
200303,3,3.6
200303,2,3.8
200303,23,3.8
200303,16,4.4
200303,29,5.6
200303,28,6.5
200303,30,6.6
200303,24,6.8
200303,26,7.3
200303,25,7.6
200303,31,7.8
200303,27,8.3
200304,5,5
200304,10,6
200304,2,6.8
200304,1,7.1
200304,6,7.1
200304,3,7.2
200304,4,7.5
200304,9,7.8
200304,21,8
200304,11,8.3
200304,20,8.4
200304,23,9.4
200304,8,9.5
200304,22,9.8
200304,12,10.1
200304,14,10.3
200304,15,10.5
200304,7,11.4
200304,25,11.4
200304,24,11.8
200304,13,12
200304,16,12.7
200304,27,12.9
200304,30,13.3
200304,26,13.6
200304,19,15.2
200304,28,15.5
200304,17,16.4
200304,29,18.5
200304,18,18.8
200305,9,9.7
200305,1,10
200305,10,11.9
200305,8,13.2
200305,11,13.5
200305,16,14.4
200305,2,14.6
200305,26,14.8
200305,17,14.9
200305,12,15
200305,18,15.2
200305,25,15.3
200305,5,15.6
200305,22,15.8
200305,24,15.8
200305,23,16.3
200305,21,16.5
200305,31,16.5
200305,4,16.7
200305,15,17.1
200305,6,17.2
200305,19,17.5
200305,3,18.1
200305,27,18.5
200305,13,18.6
200305,20,18.6
200305,14,20.3
200305,7,20.4
200305,28,20.8
200305,30,21.5
200305,29,22.3
200306,2,16.7
200306,1,17
