年月,日,3-1氣温(℃)-平均
200002,16,1.1
200002,26,1.4
200002,25,1.7
200002,17,2.5
200002,18,2.5
200002,29,2.8
200002,22,2.9
200002,15,3.1
200002,24,3.1
200002,27,3.3
200002,1,3.5
200002,21,3.6
200002,10,3.7
200002,19,3.7
200002,23,3.8
200002,20,3.9
200002,9,4
200002,11,4.7
200002,28,4.8
200002,4,5.1
200002,3,5.2
200002,14,5.2
200002,2,5.3
200002,6,5.3
200002,5,5.5
200002,8,6.3
200002,12,7.1
200002,13,7.2
200002,7,7.6
200003,9,3.1
200003,1,3.8
200003,10,4
200003,26,5.4
200003,16,5.7
200003,2,6
200003,14,6
200003,11,6.1
200003,23,6.1
200003,8,6.2
200003,13,6.3
200003,6,6.5
200003,21,7
200003,17,7.1
200003,15,7.3
200003,22,7.3
200003,25,7.3
200003,7,8.2
200003,12,8.4
200003,20,8.5
200003,18,8.6
200003,27,8.7
200003,4,8.8
200003,3,9
200003,24,9.3
200003,28,10.7
200003,31,10.7
200003,19,11
200003,5,12.4
200003,30,12.4
200003,29,15.2
200004,3,9.1
200004,4,10.3
200004,16,10.3
200004,2,10.8
200004,5,10.8
200004,15,11
200004,1,11.2
200004,17,11.3
200004,20,11.5
200004,9,12.1
200004,11,12.1
200004,24,12.4
200004,7,12.7
200004,8,13
200004,26,13
200004,6,13.2
200004,21,13.4
200004,10,13.6
200004,12,13.6
200004,18,13.6
200004,25,14.3
200004,27,14.6
200004,28,14.7
200004,30,15.4
200004,13,15.6
200004,29,15.6
200004,19,15.7
200004,23,16
200004,14,16.7
200004,22,18.8
200005,6,14.9
200005,20,15.2
200005,4,16.4
200005,5,16.4
200005,11,16.5
200005,21,16.8
200005,3,17
200005,18,17
200005,19,17.4
200005,15,17.6
200005,17,17.7
200005,10,17.8
200005,1,18.2
200005,7,18.4
200005,14,18.4
200005,2,18.6
200005,13,18.8
200005,12,19.2
200005,8,19.8
200005,31,19.8
200005,16,20
200005,9,20.3
200005,22,20.3
200005,25,20.8
200005,24,21.3
200005,27,21.7
200005,26,22.1
200005,23,22.3
200005,28,23.1
200005,30,23.2
200005,29,24
200006,10,18.1
200006,11,18.2
200006,12,18.2
200006,13,18.2
200006,14,18.7
200006,25,19
200006,24,19.4
200006,23,19.8
200006,26,20
200006,5,20.7
200006,27,21.4
200006,15,21.6
200006,9,21.7
200006,17,21.8
200006,1,21.9
200006,3,21.9
200006,28,21.9
200006,4,22.4
200006,6,22.6
200006,2,23
200006,18,24.6
200006,16,24.8
200006,8,24.9
200006,7,25.1
200006,21,25.2
200006,22,25.4
200006,29,25.4
200006,19,25.6
200006,20,25.8
200006,30,27.5
200007,7,23
200007,26,23.5
200007,5,23.8
200007,6,23.8
200007,8,23.9
200007,4,24.8
200007,27,25.3
200007,28,25.6
200007,25,25.9
200007,10,26
200007,2,26.4
200007,11,26.7
200007,9,26.8
200007,19,27.1
200007,18,27.2
200007,3,27.5
200007,12,27.6
200007,15,27.7
200007,29,27.7
200007,1,27.9
200007,20,28.1
200007,21,28.1
200007,14,28.8
200007,13,28.9
200007,30,29.2
200007,17,29.4
200007,16,29.7
200007,31,30
200007,22,30.2
200007,23,30.8
200007,24,30.8
200102,14,1.7
200102,9,2
200102,15,2
200102,16,2.4
200102,7,2.8
200102,12,2.9
200102,17,3.2
200102,13,3.3
200102,26,3.3
200102,4,3.4
200102,3,3.9
200102,8,3.9
200102,5,4
200102,1,4.1
200102,2,4.3
200102,11,4.5
200102,25,4.5
200102,10,4.8
200102,18,5.5
200102,24,5.8
200102,27,5.9
200102,6,6.5
200102,20,6.5
200102,28,6.6
200102,19,7.2
200102,21,7.4
200102,23,10.7
200102,22,11.6
200103,31,3.1
200103,9,3.2
200103,13,3.9
200103,8,4
200103,11,4.2
200103,12,4.2
200103,10,4.4
200103,2,5
200103,4,5
200103,3,5.7
200103,5,6
200103,14,6
200103,1,6.2
200103,29,6.8
200103,30,7.1
200103,17,7.4
200103,7,7.5
200103,16,8.4
200103,6,8.9
200103,15,9.4
200103,28,10.3
200103,27,10.9
200103,18,11.6
200103,19,12.3
200103,26,12.3
200103,25,13.2
200103,20,13.4
200103,23,13.5
200103,22,13.6
200103,24,14.4
200103,21,14.5
200104,1,6.7
200104,2,9.3
200104,4,9.6
200104,21,10.6
200104,5,11.1
200104,3,11.4
200104,25,12.2
200104,22,12.6
200104,23,13.2
200104,26,13.8
200104,6,14
200104,13,14.5
200104,27,14.6
200104,30,15
200104,12,15.1
200104,14,15.2
200104,24,15.8
200104,8,16
200104,7,16.1
200104,15,16.3
200104,16,16.3
200104,9,16.7
200104,19,17
200104,18,17.2
200104,28,17.5
200104,29,17.6
200104,17,17.8
200104,10,17.9
200104,11,17.9
200104,20,18.6
200105,2,11
200105,1,11.2
200105,3,11.9
200105,4,14.4
200105,5,15.9
200105,8,17.9
200105,11,18.6
200105,23,18.6
200105,6,18.8
200105,10,19.1
200105,9,19.2
200105,24,19.2
200105,12,19.6
200105,7,19.7
200105,18,20
200105,16,20.2
200105,27,20.2
200105,19,20.3
200105,30,20.3
200105,17,20.5
200105,22,20.5
200105,29,20.5
200105,13,20.8
200105,28,21.1
200105,14,21.4
200105,31,21.4
200105,15,21.8
200105,20,22.7
200105,25,22.7
200105,26,22.9
200105,21,23.5
200106,15,17.4
200106,21,18.2
200106,14,18.3
200106,6,19.1
200106,16,19.4
200106,10,19.6
200106,12,19.9
200106,13,20.5
200106,22,20.9
200106,8,21.1
200106,7,21.2
200106,9,22
200106,2,22.3
200106,3,22.5
200106,11,22.5
200106,17,22.7
200106,20,23.2
200106,23,23.2
200106,1,23.3
200106,5,23.4
200106,19,23.6
200106,24,24.3
200106,30,24.5
200106,18,24.7
200106,25,25.1
200106,4,25.6
200106,27,26.7
200106,29,27.7
200106,26,27.8
200106,28,28
200107,28,23.8
200107,27,24.4
200107,19,24.8
200107,29,25.3
200107,26,25.6
200107,18,26.3
200107,2,26.4
200107,8,26.4
200107,7,26.9
200107,9,26.9
200107,10,27.1
200107,1,28
200107,20,28
200107,30,28
200107,3,28.1
200107,11,28.6
200107,6,28.7
200107,17,29
200107,25,29.3
200107,21,29.7
200107,31,30.2
200107,16,30.4
200107,14,30.5
200107,22,30.5
200107,5,30.9
200107,15,30.9
200107,4,31
200107,24,31.3
200107,12,31.4
200107,23,31.9
200107,13,32
200202,11,2.1
