年月,日,3-1氣温(℃)-平均
200002,16,2.7
200002,26,3.1
200002,25,3.4
200002,17,3.6
200002,18,4
200002,20,4.2
200002,22,4.2
200002,29,4.3
200002,19,4.5
200002,27,4.8
200002,15,5
200002,9,5.1
200002,10,5.2
200002,24,5.2
200002,1,5.3
200002,21,5.3
200002,23,5.6
200002,11,5.9
200002,28,6.5
200002,5,6.6
200002,6,6.8
200002,8,6.9
200002,4,7
200002,14,7
200002,3,7.1
200002,2,7.2
200002,12,7.7
200002,13,8.1
200002,7,8.9
200003,10,5.1
200003,1,5.5
200003,9,5.7
200003,12,6.5
200003,2,6.8
200003,14,6.8
200003,16,6.8
200003,11,7
200003,21,7
200003,26,7.3
200003,6,7.5
200003,8,7.6
200003,15,7.8
200003,13,8.3
200003,27,8.5
200003,17,8.7
200003,25,8.7
200003,22,9
200003,18,9.5
200003,20,9.8
200003,23,10
200003,7,10.2
200003,3,10.4
200003,5,11.3
200003,28,11.4
200003,4,11.8
200003,24,11.9
200003,19,12.7
200003,30,12.8
200003,31,13
200003,29,15
200004,16,9.5
200004,3,10
200004,5,11.3
200004,2,11.5
200004,4,11.5
200004,20,11.5
200004,15,11.6
200004,17,11.8
200004,1,12.1
200004,11,13.1
200004,9,13.4
200004,6,13.5
200004,21,13.5
200004,18,13.8
200004,26,13.8
200004,24,13.9
200004,7,14.1
200004,12,14.5
200004,25,14.5
200004,10,15.3
200004,27,15.4
200004,28,15.6
200004,8,15.7
200004,19,16
200004,13,16.1
200004,29,16.2
200004,30,16.2
200004,14,17.5
200004,23,18.1
200004,22,18.6
200005,20,15.6
200005,6,16.4
200005,11,16.4
200005,4,16.8
200005,5,16.9
200005,18,16.9
200005,21,17.1
200005,10,17.3
200005,19,17.6
200005,1,17.7
200005,2,17.9
200005,3,17.9
200005,12,17.9
200005,17,18
200005,7,18.6
200005,13,18.7
200005,15,18.8
200005,22,19.4
200005,14,19.5
200005,16,19.5
200005,25,19.7
200005,9,19.8
200005,8,20
200005,31,20.6
200005,26,21.4
200005,27,21.4
200005,24,21.6
200005,23,21.9
200005,30,23
200005,28,23.1
200005,29,24.2
200006,12,16.8
200006,13,17.3
200006,11,17.6
200006,14,18.5
200006,25,18.6
200006,24,19.7
200006,5,19.9
200006,10,19.9
200006,26,19.9
200006,17,20
200006,23,20.6
200006,15,20.9
200006,18,21.5
200006,1,21.6
200006,6,21.8
200006,2,21.9
200006,3,21.9
200006,4,22
200006,9,22.5
200006,27,22.5
200006,16,22.9
200006,21,23.2
200006,28,23.2
200006,19,23.3
200006,7,23.5
200006,20,23.5
200006,8,23.7
200006,29,24
200006,22,24.8
200006,30,25.6
200007,7,22.8
200007,26,23
200007,5,23.6
200007,6,24.4
200007,8,24.6
200007,27,24.8
200007,28,25.2
200007,25,25.3
200007,4,25.4
200007,12,25.5
200007,10,25.6
200007,11,25.8
200007,9,26
200007,15,26.2
200007,2,26.8
200007,18,26.9
200007,3,27
200007,14,27
200007,1,27.1
200007,29,27.1
200007,13,27.2
200007,19,27.2
200007,16,27.3
200007,30,27.4
200007,31,27.8
200007,20,27.9
200007,17,28
200007,21,28
200007,24,28
200007,22,28.9
200007,23,29.3
200102,14,2.8
200102,15,3
200102,12,3.8
200102,7,4.1
200102,13,4.1
200102,1,4.2
200102,2,4.2
200102,9,4.2
200102,17,4.3
200102,26,4.7
200102,4,4.8
200102,3,4.9
200102,8,4.9
200102,25,5.4
200102,10,5.7
200102,16,5.8
200102,11,6.2
200102,24,6.2
200102,5,6.4
200102,18,6.7
200102,20,7
200102,27,7.2
200102,6,7.4
200102,19,8.8
200102,21,9.7
200102,28,11.6
200102,23,11.9
200102,22,13.2
200103,31,3.1
200103,12,4
200103,9,4.9
200103,13,4.9
200103,11,5.5
200103,8,5.6
200103,2,5.9
200103,10,5.9
200103,3,6.7
200103,1,6.8
200103,30,7
200103,5,7.3
200103,29,7.7
200103,4,8.2
200103,17,8.2
200103,14,9.1
200103,16,9.2
200103,6,9.9
200103,18,10.8
200103,27,11.5
200103,7,11.9
200103,28,12
200103,19,12.4
200103,26,13
200103,23,13.4
200103,25,13.5
200103,22,13.9
200103,24,14.2
200103,20,14.4
200103,15,14.5
200103,21,15.7
200104,1,7.1
200104,4,10.3
200104,21,10.3
200104,2,11.1
200104,5,12.3
200104,22,12.5
200104,25,12.5
200104,26,13.2
200104,23,13.8
200104,30,14.2
200104,3,14.6
200104,6,15
200104,13,15
200104,27,15.2
200104,7,15.5
200104,14,15.6
200104,8,15.9
200104,19,16
200104,16,16.2
200104,9,17.1
200104,15,17.1
200104,29,17.1
200104,12,17.3
200104,18,17.3
200104,17,17.5
200104,24,17.5
200104,28,17.6
200104,11,17.8
200104,10,18.2
200104,20,18.6
200105,3,11.2
200105,1,11.6
200105,2,12.8
200105,4,13.9
200105,5,15.9
200105,9,17.9
200105,6,18.2
200105,10,18.2
200105,8,18.5
200105,23,18.6
200105,11,18.9
200105,24,18.9
200105,12,19
200105,16,19
200105,27,19
200105,17,19.1
200105,7,19.5
200105,18,19.7
200105,13,19.8
200105,28,19.8
200105,29,20.1
200105,30,20.2
200105,22,20.3
200105,14,20.5
200105,31,20.5
200105,25,20.6
200105,19,20.7
200105,20,21.3
200105,15,21.4
200105,21,21.9
200105,26,22.2
200106,15,17
200106,16,18.2
200106,14,18.5
200106,21,18.8
200106,6,19
200106,22,20
200106,12,20.2
200106,10,20.5
200106,8,20.6
200106,9,21
200106,17,21.5
200106,7,21.6
200106,2,21.7
200106,13,21.7
200106,23,21.9
200106,3,22.1
200106,1,22.2
200106,11,22.3
200106,5,22.8
200106,18,23.3
200106,20,23.3
200106,24,23.6
200106,4,24.3
200106,30,24.3
200106,19,24.6
200106,25,25.5
200106,26,26.2
200106,29,26.4
200106,28,26.5
200106,27,27.5
200107,28,23.4
200107,29,24.2
200107,27,24.6
200107,2,24.8
200107,9,25.2
200107,8,25.3
200107,7,25.4
200107,10,25.4
200107,3,25.7
200107,26,26
200107,30,26.7
200107,11,26.8
200107,19,27.5
200107,4,27.9
200107,20,27.9
200107,25,27.9
200107,18,28.3
200107,31,28.3
200107,1,28.4
200107,5,28.6
200107,16,28.6
200107,6,28.7
200107,17,28.7
200107,21,28.7
200107,12,28.9
200107,15,28.9
200107,14,29.1
200107,13,29.2
200107,22,29.2
200107,23,30.1
200107,24,30.2
200202,10,3.2
200202,11,3.4
200202,13,5
200202,3,5.3
200202,12,5.4
200202,14,5.4
200202,15,5.4
200202,1,5.7
200202,19,6.2
200202,16,6.6
200202,17,6.9
200202,2,7
200202,4,7
200202,5,7
200202,6,7.6
200202,18,7.8
200202,25,8
200202,20,8.5
200202,24,8.5
200202,9,8.6
200202,26,8.9
200202,8,9.1
200202,7,9.5
200202,28,9.6
200202,21,9.8
200202,23,10.4
200202,27,10.4
200202,22,11.5
200203,3,6.1
200203,4,7.8
200203,5,8.3
200203,8,8.3
200203,26,8.5
200203,25,9.3
200203,24,9.4
200203,23,9.7
200203,9,9.9
200203,27,10.5
200203,28,10.5
200203,7,10.9
200203,6,11
200203,13,11.2
200203,1,11.4
200203,11,11.5
200203,29,11.7
200203,2,12.1
200203,12,12.4
200203,14,12.6
200203,19,12.6
200203,10,12.9
200203,16,13.2
200203,20,13.4
200203,17,14.4
200203,18,14.9
200203,31,15
200203,21,15.7
200203,22,16
200203,15,16.9
200203,30,17.2
200204,26,12
200204,12,12.6
200204,27,12.6
200204,28,13
200204,10,13.1
200204,6,13.2
200204,11,13.7
200204,5,14
200204,7,14.1
200204,13,14.2
200204,1,14.5
200204,21,14.6
200204,4,15
200204,29,15.1
200204,25,15.2
200204,14,15.4
200204,19,15.4
200204,22,15.7
200204,18,15.8
200204,23,15.8
200204,20,16.6
200204,24,17.1
200204,3,17.3
200204,30,17.4
200204,2,17.6
200204,9,17.8
200204,8,18.6
200204,15,19.7
200204,16,20.4
200204,17,20.6
200205,7,13.2
200205,10,13.3
200205,17,13.5
200205,16,13.9
200205,13,14.4
200205,9,14.7
200205,11,14.8
200205,18,15.1
200205,6,16.3
200205,20,16.3
200205,12,16.8
200205,2,17.4
200205,21,17.4
200205,27,17.8
200205,3,18.2
200205,14,18.6
200205,1,18.7
200205,8,18.8
200205,28,18.8
200205,15,18.9
200205,19,18.9
200205,22,19.3
200205,4,19.5
200205,23,19.5
200205,26,19.5
200205,24,19.9
200205,29,20.2
200205,31,20.2
200205,25,20.6
200205,30,21.4
200205,5,22.3
200206,27,15.9
200206,26,16.2
200206,25,16.9
200206,23,17.3
200206,13,18.3
200206,22,18.3
200206,24,18.4
200206,18,18.8
200206,15,19.6
200206,28,19.7
200206,20,20.2
200206,29,20.2
200206,12,20.4
200206,14,20.4
200206,6,20.7
200206,16,21.3
200206,1,21.4
200206,30,21.6
200206,3,22.2
200206,17,22.2
200206,19,22.3
200206,21,22.5
200206,7,22.6
200206,4,22.8
200206,2,23
200206,5,23.3
200206,8,23.3
200206,10,23.5
200206,11,24.1
200206,9,24.4
200207,1,22.8
200207,2,23.9
200207,3,23.9
200207,5,24.8
200207,10,25.5
200207,25,25.6
200207,4,25.8
200207,6,25.8
200207,13,26.3
200207,17,26.3
200207,28,26.4
200207,29,26.5
200207,7,26.6
200207,24,26.7
200207,16,26.9
200207,18,27.1
200207,8,27.5
200207,9,27.5
200207,12,27.6
200207,19,27.6
200207,11,27.9
200207,21,27.9
200207,22,28
200207,15,28.1
200207,14,28.3
200207,20,28.3
200207,26,28.3
200207,27,28.5
200207,23,28.6
200207,30,28.8
200207,31,29.4
200302,24,3.2
200302,2,3.5
200302,4,4.1
200302,3,4.4
200302,16,4.6
