年月,日,3-1氣温(℃)-平均
200002,16,-0.9
200002,17,0.5
200002,26,0.9
200002,29,1.6
200002,9,1.7
200002,25,1.8
200002,18,2
200002,19,2.5
200002,27,2.5
200002,10,2.7
200002,8,2.8
200002,28,2.8
200002,22,2.9
200002,1,3
200002,21,3.4
200002,24,3.4
200002,15,3.9
200002,6,4
200002,23,4
200002,11,4.2
200002,2,4.3
200002,4,4.4
200002,5,4.9
200002,3,5
200002,20,5
200002,7,6.1
200002,14,7.1
200002,12,7.4
200002,13,7.8
200003,9,3.1
200003,8,3.2
200003,1,3.4
200003,10,3.6
200003,11,4.5
200003,26,4.8
200003,25,5.1
200003,14,6.2
200003,2,6.3
200003,13,6.5
200003,17,7
200003,7,7.2
200003,12,7.6
200003,4,7.7
200003,15,8.1
200003,20,8.3
200003,21,8.3
200003,18,8.5
200003,16,8.6
200003,24,8.8
200003,27,8.9
200003,22,9
200003,6,9.2
200003,3,9.5
200003,5,9.9
200003,23,9.9
200003,31,9.9
200003,19,10
200003,29,10.6
200003,30,10.8
200003,28,11
200004,11,9.8
200004,2,10.6
200004,1,10.9
200004,15,11.4
200004,16,11.5
200004,17,11.6
200004,5,12.2
200004,6,12.4
200004,28,12.7
200004,3,13
200004,24,13
200004,12,13.1
200004,26,13.4
200004,4,13.5
200004,8,13.5
200004,7,13.6
200004,9,14.4
200004,25,14.8
200004,10,14.9
200004,18,15
200004,29,15
200004,27,15.3
200004,30,15.4
200004,23,15.7
200004,21,15.8
200004,19,15.9
200004,13,16
200004,20,16.5
200004,14,17
200004,22,17.3
200005,3,15.4
200005,1,15.5
200005,20,16.3
200005,2,16.4
200005,4,17
200005,17,18.3
200005,19,18.7
200005,15,18.8
200005,31,18.9
200005,5,19
200005,16,19.3
200005,6,19.4
200005,12,19.4
200005,21,19.4
200005,27,19.6
200005,18,19.8
200005,8,19.9
200005,13,20.1
200005,7,20.2
200005,11,20.6
200005,14,20.6
200005,22,20.7
200005,10,20.8
200005,28,21.8
200005,25,21.9
200005,26,22.4
200005,9,22.7
200005,29,23
200005,30,23.1
200005,24,23.4
200005,23,23.6
200006,11,18.8
200006,12,19.3
200006,13,19.6
200006,17,19.9
200006,10,20
200006,1,21
200006,9,21
200006,14,21.1
200006,5,21.3
200006,4,21.4
200006,3,21.6
200006,18,22.3
200006,26,22.4
200006,27,22.5
200006,2,22.7
200006,6,22.7
200006,25,22.8
200006,23,23
200006,15,23.2
200006,29,23.5
200006,28,23.7
200006,8,23.8
200006,7,24.3
200006,21,24.5
200006,16,24.8
200006,22,24.8
200006,19,25.1
200006,24,25.3
200006,20,25.4
200006,30,26.8
200007,25,24
200007,7,25.3
200007,26,25.4
200007,6,25.6
200007,28,25.7
200007,27,25.8
200007,5,26.2
200007,15,26.2
200007,8,26.4
200007,9,26.5
200007,14,27.4
200007,4,27.5
200007,29,27.5
200007,30,27.5
200007,31,28.2
200007,10,28.4
200007,12,28.7
200007,20,28.7
200007,11,28.8
200007,13,28.8
200007,24,28.9
200007,1,29
200007,17,29.1
200007,18,29.4
200007,3,29.5
200007,2,29.8
200007,16,29.8
200007,19,30.1
200007,21,30.2
200007,23,31.2
200007,22,31.8
200102,15,2.4
200102,3,2.9
200102,16,3.2
200102,9,3.4
200102,10,3.5
200102,12,3.5
200102,2,3.6
200102,17,3.6
200102,26,3.6
200102,11,4
200102,4,4.1
200102,14,4.1
200102,1,4.2
200102,13,4.2
200102,25,5
200102,27,6
200102,6,6.1
200102,7,6.1
200102,8,6.4
200102,18,6.7
200102,28,6.7
200102,20,6.9
