年月,日,3-1氣温(℃)-平均
200002,29,1.4
200002,25,1.8
200002,26,1.8
200002,9,2.3
200002,16,2.5
200002,10,3
200002,1,3.3
200002,22,3.3
200002,17,3.4
200002,21,3.4
200002,18,3.7
200002,19,3.7
200002,8,3.8
200002,15,4.2
200002,28,4.6
200002,20,4.7
200002,5,4.8
200002,24,4.8
200002,23,4.9
200002,6,5
200002,11,5
200002,27,5.1
200002,2,5.5
200002,4,5.8
200002,3,6.2
200002,7,6.5
200002,14,6.8
200002,13,7
200002,12,7.8
200003,11,4.2
200003,1,4.3
200003,10,4.9
200003,9,5.1
200003,8,5.3
200003,14,6.4
200003,26,6.4
200003,17,6.8
200003,12,7
200003,25,7.2
200003,2,7.3
200003,13,7.5
200003,18,7.5
200003,27,7.5
200003,15,7.6
200003,20,7.9
200003,21,8.1
200003,4,8.4
200003,23,8.5
200003,22,8.6
200003,19,8.8
200003,3,8.9
200003,7,9.1
200003,24,9.5
200003,31,9.6
200003,16,9.8
200003,6,10.2
200003,28,10.7
200003,5,10.8
200003,30,10.8
200003,29,11.8
200004,11,10.6
200004,2,10.7
200004,1,10.8
200004,7,11.1
200004,16,11.3
200004,17,11.4
200004,6,11.6
200004,15,12.2
200004,3,12.4
200004,9,12.4
200004,8,12.6
200004,4,12.7
200004,5,12.9
200004,28,13.2
200004,24,13.4
200004,10,13.6
200004,26,13.8
200004,25,13.9
200004,18,14.2
200004,12,14.6
200004,30,14.7
200004,19,15.2
200004,29,15.5
200004,21,15.6
200004,13,15.8
200004,23,16
200004,14,16.1
200004,20,16.4
200004,27,16.5
200004,22,17.9
200005,1,15.2
200005,3,15.6
200005,2,15.7
200005,20,16.4
200005,4,17.7
200005,6,17.8
200005,19,17.9
200005,17,18.2
200005,15,18.4
200005,14,18.5
200005,5,18.8
200005,8,19.1
200005,12,19.1
200005,7,19.2
200005,18,19.3
200005,11,19.4
200005,13,19.5
200005,21,19.6
200005,16,19.7
200005,31,19.7
200005,10,19.8
200005,22,20.2
200005,27,20.4
200005,26,21.6
200005,30,21.6
200005,25,21.8
200005,28,22.5
200005,9,22.9
200005,29,23.1
200005,23,23.2
200005,24,24.7
200006,11,18.6
200006,12,18.7
200006,13,19.8
200006,10,20.5
200006,17,20.5
200006,5,20.6
200006,4,21.2
200006,14,21.5
200006,9,21.6
200006,1,21.7
200006,3,21.8
200006,26,21.8
200006,6,22
200006,18,22.1
200006,15,22.3
200006,25,22.5
200006,29,23
200006,8,23.1
200006,2,23.2
200006,27,23.2
200006,23,23.6
200006,7,23.7
200006,28,23.8
200006,16,24.3
200006,19,24.7
200006,21,24.7
200006,20,25
200006,22,25.1
200006,30,25.9
200006,24,26
200007,25,24.8
200007,7,25
200007,26,25.6
200007,5,25.8
200007,6,25.9
200007,27,26
200007,4,26.2
200007,28,26.2
200007,8,26.6
200007,9,26.7
200007,15,26.7
200007,14,26.8
200007,29,27.8
200007,10,27.9
200007,12,28
200007,1,28.3
200007,11,28.4
200007,31,28.4
200007,20,28.6
200007,30,28.6
200007,13,28.9
200007,16,29.1
200007,24,29.2
200007,17,29.4
200007,2,29.5
200007,3,29.6
200007,18,29.7
200007,19,30
200007,21,30.5
200007,23,31.1
200007,22,33.5
200102,15,3.1
200102,16,3.2
200102,17,3.5
200102,3,3.7
200102,2,3.8
200102,26,3.9
200102,12,4.1
200102,14,4.2
200102,10,4.5
200102,9,4.6
200102,13,4.8
200102,25,4.8
200102,1,4.9
200102,4,5.1
200102,11,5.1
200102,27,5.1
200102,8,6.2
200102,21,6.4
200102,28,6.4
200102,6,6.7
200102,7,6.7
200102,5,6.8
200102,18,6.9
200102,20,7.1
200102,24,9.2
200102,19,9.4
200102,23,10.2
200102,22,12.3
200103,9,2.4
200103,8,3.8
200103,11,3.9
200103,13,4.3
200103,12,5
200103,5,5.6
