年月,日,3-1氣温(℃)-平均
200002,16,-0.5
200002,25,-0.1
200002,22,0.3
200002,24,0.3
200002,21,0.8
200002,28,0.8
200002,29,0.8
200002,11,0.9
200002,15,1.1
200002,17,1.4
200002,26,1.5
200002,18,2
200002,2,2.1
200002,1,2.2
200002,19,2.3
200002,27,2.3
200002,4,2.4
200002,23,2.4
200002,9,2.5
200002,10,2.5
200002,20,3.1
200002,3,3.3
200002,6,3.4
200002,8,3.6
200002,13,3.7
200002,5,4
200002,12,4.2
200002,14,4.8
200002,7,5.8
200003,9,0.6
200003,10,1
200003,8,1.9
200003,14,2
200003,1,2.1
200003,26,3
200003,13,3.1
200003,7,3.7
200003,11,3.7
200003,25,4
200003,2,4.4
200003,15,4.7
200003,22,4.7
200003,12,4.8
200003,21,4.8
200003,17,4.9
200003,6,5
200003,16,5.2
200003,20,5.6
200003,27,6
200003,24,6.4
200003,4,6.8
200003,5,6.9
200003,18,7.4
200003,23,7.8
200003,3,7.9
200003,30,8
200003,19,9.2
200003,29,9.9
200003,31,10
200003,28,11.7
200004,11,7.2
200004,3,7.6
200004,2,7.8
200004,16,8.3
200004,1,8.6
200004,6,8.8
200004,15,9.2
200004,28,9.3
200004,17,9.6
200004,8,9.8
200004,4,10.2
200004,9,10.7
200004,18,11.4
200004,5,11.5
200004,7,12.1
200004,14,12.2
200004,23,12.2
200004,12,12.3
200004,24,12.3
200004,20,12.6
200004,29,12.6
200004,19,12.9
200004,13,13.2
200004,30,13.2
200004,27,13.4
200004,22,13.5
200004,26,14.1
200004,25,14.4
200004,10,15.2
200004,21,15.8
200005,4,12
200005,5,12.9
200005,3,13.2
200005,15,14
200005,16,14.1
200005,1,14.2
200005,17,15
200005,9,15.2
200005,14,15.2
200005,18,15.6
200005,13,15.7
200005,7,16.2
200005,2,16.7
200005,21,16.7
200005,10,16.8
200005,8,17.2
200005,24,17.2
200005,12,17.8
200005,20,17.9
200005,25,17.9
200005,6,18
200005,19,18.7
200005,22,18.8
200005,31,18.9
200005,23,19.4
200005,29,19.9
200005,28,20.5
200005,11,20.9
200005,26,21.5
200005,30,21.9
200005,27,22.9
200006,1,16.6
200006,10,16.6
200006,4,16.7
200006,3,17.1
200006,11,17.3
200006,9,17.4
200006,12,17.5
200006,2,17.6
200006,5,17.8
200006,14,18.1
200006,13,19.2
200006,28,20.9
200006,23,21.5
200006,29,21.5
200006,15,21.7
200006,24,21.8
200006,18,21.9
200006,6,22
200006,19,22.1
200006,17,22.2
200006,20,22.7
200006,27,22.7
200006,22,22.8
200006,7,23
200006,21,23.6
200006,26,23.9
200006,8,24
200006,25,24.2
200006,16,24.3
200006,30,25.9
200007,8,21.1
200007,10,22.7
200007,9,22.9
200007,5,23.6
200007,25,23.6
200007,26,23.6
200007,15,24
200007,4,24.1
200007,6,24.5
200007,27,24.9
200007,3,25
200007,13,25
200007,18,25.2
200007,11,25.4
200007,16,25.8
200007,19,26
200007,7,26.3
200007,28,26.3
200007,1,26.5
200007,2,26.6
200007,20,26.6
200007,14,27.3
200007,17,27.3
200007,22,27.4
200007,29,27.5
200007,12,27.6
200007,21,28.3
200007,23,29.3
200007,24,29.5
200007,30,31.2
200007,31,31.7
200102,14,-1.6
200102,13,-0.5
200102,15,-0.5
200102,12,-0.3
200102,2,0.2
200102,11,0.4
200102,16,0.4
200102,17,0.8
200102,4,0.9
200102,10,0.9
200102,25,0.9
200102,3,1
200102,9,1.2
200102,8,1.3
200102,26,1.6
200102,5,1.9
200102,6,2
200102,7,2.3
200102,20,2.6
200102,24,3.1
