年月,日,3-1氣温(℃)-平均
200002,16,-1.7
200002,25,-1.1
200002,29,-1
200002,17,-0.7
200002,22,-0.2
200002,24,-0.2
200002,18,-0.1
200002,21,0.1
200002,9,0.3
200002,26,0.3
200002,15,0.4
200002,28,0.8
200002,1,1.1
200002,19,1.1
200002,27,1.5
200002,10,1.7
200002,20,1.8
200002,23,1.8
200002,8,2.3
200002,11,2.6
200002,4,2.7
200002,2,3.3
200002,5,3.3
200002,13,4.3
200002,3,4.5
200002,7,4.5
200002,6,4.8
200002,12,6
200002,14,6.2
200003,9,-0.2
200003,10,0.2
200003,8,0.6
200003,1,1.2
200003,26,1.3
200003,14,2.7
200003,25,3.2
200003,13,4.3
200003,2,4.4
200003,11,4.5
200003,7,4.6
200003,15,4.7
200003,21,4.9
200003,17,5
200003,12,5.4
200003,20,5.7
200003,5,5.9
200003,22,5.9
200003,27,6.3
200003,6,6.4
200003,3,6.6
200003,24,6.6
200003,16,7.2
200003,18,8.3
200003,29,8.4
200003,4,8.6
200003,30,8.6
200003,23,9.8
200003,19,10.1
200003,31,11.9
200003,28,13.5
200004,2,7.4
200004,16,8
200004,3,8.2
200004,11,8.6
200004,4,8.9
200004,1,9.1
200004,28,9.1
200004,15,9.2
200004,6,9.3
200004,17,9.6
200004,9,10
200004,5,10.8
200004,8,10.8
200004,24,11
200004,29,12.7
200004,21,12.8
200004,20,13.2
200004,12,13.4
200004,26,13.4
200004,30,13.5
200004,27,13.6
200004,18,13.8
200004,7,14
200004,13,14.1
200004,19,14.2
200004,23,14.2
200004,25,14.3
200004,14,14.9
200004,22,15.7
200004,10,16.4
200005,5,13.3
200005,3,13.9
200005,4,14.6
200005,15,14.6
200005,16,14.7
200005,17,14.9
200005,1,15.3
200005,14,15.3
200005,2,15.4
200005,12,15.4
200005,18,15.5
200005,13,15.7
200005,19,15.7
200005,10,16
200005,9,16.8
200005,7,16.9
200005,21,17
200005,20,17.8
200005,31,17.8
200005,6,18.2
200005,22,18.7
200005,8,18.9
200005,25,19.1
200005,11,20.2
200005,24,21.2
200005,26,21.2
200005,29,21.3
200005,28,21.7
200005,23,22.4
200005,30,22.4
200005,27,23.6
200006,3,17.6
200006,9,17.6
200006,2,17.9
200006,12,17.9
200006,1,18
200006,10,18.1
200006,11,18.1
200006,4,18.2
200006,5,18.3
200006,13,19
200006,14,19.3
200006,17,21.4
200006,18,21.8
200006,19,22
200006,23,22.1
200006,28,22.1
200006,29,22.1
200006,15,22.6
200006,6,22.8
200006,22,22.8
200006,24,22.8
200006,25,23.5
200006,26,23.6
200006,27,24.1
200006,20,24.2
200006,21,24.2
200006,8,24.3
200006,7,24.5
200006,16,25.1
200006,30,26.6
200007,8,23.3
200007,5,23.8
200007,15,23.9
200007,7,24.1
200007,9,24.1
200007,10,24.4
200007,4,24.7
200007,6,24.7
200007,27,24.8
200007,25,25
200007,26,25.1
200007,13,26.1
200007,17,26.3
200007,28,26.3
200007,3,26.5
200007,11,26.6
200007,14,26.6
200007,18,26.8
200007,19,27.2
200007,20,27.4
200007,16,27.7
200007,1,27.9
200007,2,28.1
200007,21,28.7
200007,22,29.1
200007,29,29.5
200007,12,30.4
200007,23,30.6
200007,24,30.8
200007,30,32.4
200007,31,33.1
200102,12,0
200102,14,0.1
200102,15,0.4
200102,13,0.8
200102,4,1
200102,2,1.1
200102,3,1.3
200102,11,1.3
200102,9,1.4
200102,26,1.5
200102,25,1.6
200102,16,1.9
200102,8,2.3
200102,10,2.4
200102,17,2.7
200102,20,3.6
200102,5,4
200102,6,4.1
200102,7,4.3
200102,1,4.6
200102,24,4.6
200102,27,5.2
200102,19,6
200102,21,6.6
200102,18,7.4
200102,23,7.7
200102,22,8.7
200102,28,9.5
200103,9,-0.2
200103,11,0.3
200103,8,0.6
200103,10,1.2
200103,12,1.3
200103,13,1.6
200103,5,2.5
200103,2,3.1
200103,31,4.2
200103,30,4.3
200103,1,5
200103,16,5.1
200103,3,5.2
200103,29,5.6
200103,7,5.7
200103,17,6
200103,4,6.2
200103,28,6.6
200103,27,8.1
200103,6,8.3
200103,15,8.5
200103,14,9.3
200103,18,9.5
200103,26,9.5
200103,23,9.9
200103,21,10.4
200103,24,11.4
200103,19,11.5
200103,22,13.3
200103,20,14.1
200103,25,14.7
200104,1,5.5
200104,4,7.2
200104,3,7.8
200104,21,9.2
200104,20,9.7
200104,22,9.9
200104,25,10.2
200104,6,10.5
200104,7,10.8
200104,12,11.1
200104,26,11.2
200104,5,11.7
200104,13,12.2
200104,15,12.7
200104,2,12.9
200104,14,13.1
200104,23,13.5
200104,27,13.5
200104,10,13.6
200104,16,14.1
200104,8,14.3
200104,24,14.3
200104,30,14.7
200104,9,15.2
200104,11,15.5
200104,18,15.8
200104,28,15.8
200104,19,16.9
200104,17,17.1
200104,29,17.1
200105,3,13.6
200105,4,13.6
200105,2,13.9
200105,5,14.3
200105,1,15.2
200105,12,15.9
200105,11,16.5
200105,8,17.3
200105,9,17.3
200105,10,17.3
200105,23,17.9
200105,24,18.1
200105,28,18.3
200105,27,18.4
200105,31,18.4
200105,25,18.8
200105,13,18.9
200105,17,19
200105,22,19
200105,6,19.7
200105,16,20.2
200105,29,20.8
200105,19,21.3
200105,26,21.5
200105,14,21.8
200105,30,22.3
200105,21,22.9
200105,15,23
200105,7,23.3
200105,20,23.6
200105,18,23.8
200106,15,17.4
200106,12,17.8
200106,14,17.8
200106,16,18.3
200106,11,18.5
200106,13,18.5
200106,21,18.7
200106,2,19.5
200106,6,19.6
200106,10,19.7
200106,8,19.9
200106,17,20.3
200106,22,20.3
200106,1,20.4
200106,20,20.5
200106,23,20.6
200106,9,20.7
200106,7,21.4
200106,5,21.6
200106,24,22
200106,4,22.3
200106,3,22.4
200106,19,22.7
200106,18,22.8
200106,30,23.7
200106,27,23.8
200106,25,25.2
200106,29,25.2
200106,28,25.4
200106,26,26.8
200107,7,21.9
200107,6,23.2
200107,8,23.4
200107,1,24
200107,2,24.1
200107,9,25
200107,18,25.1
200107,26,25.1
200107,19,25.2
200107,17,25.8
200107,27,25.9
200107,20,26.4
200107,16,27.1
200107,25,27.1
200107,10,27.3
200107,28,27.3
200107,14,27.9
200107,3,28.2
200107,15,28.2
200107,21,28.2
200107,4,28.5
200107,12,28.5
200107,30,28.6
200107,11,28.7
200107,5,28.8
200107,13,29.1
200107,22,29.4
200107,29,29.7
200107,24,29.9
200107,23,30
200107,31,30
200202,14,0.1
200202,19,0.6
200202,10,0.7
200202,11,0.7
200202,12,0.7
200202,13,1.2
200202,15,1.4
200202,9,1.6
200202,18,2.4
200202,1,3
200202,16,3.7
200202,24,4.8
200202,20,4.9
200202,2,5
200202,25,5.1
200202,5,5.2
200202,3,5.3
200202,7,5.7
200202,4,5.9
200202,23,6.6
200202,6,6.9
200202,8,7.2
200202,26,7.4
200202,21,7.5
200202,17,7.9
200202,28,7.9
200202,22,8.1
200202,27,8.3
200203,8,3.2
200203,3,3.5
200203,7,3.6
200203,24,4.9
200203,4,5.1
200203,2,5.3
200203,23,5.6
200203,25,5.7
200203,5,6.4
200203,28,6.5
200203,13,6.9
200203,9,7.6
200203,6,7.7
200203,11,8
200203,10,8.5
200203,12,8.5
200203,1,8.6
200203,22,9
200203,27,9.1
200203,16,9.6
200203,18,9.8
200203,20,10.7
200203,26,11
200203,19,11.1
