年月,日,3-1氣温(℃)-平均
200002,17,-0.3
200002,16,-0.2
200002,29,0.1
200002,25,0.3
200002,18,0.6
200002,26,0.6
200002,19,0.9
200002,1,1
200002,15,1
200002,22,1
200002,21,1.2
200002,24,1.2
200002,28,1.4
200002,9,1.7
200002,23,1.8
200002,10,1.9
200002,2,2.1
200002,8,2.4
200002,27,2.5
200002,20,2.6
200002,4,3.1
200002,3,3.2
200002,11,3.5
200002,5,4
200002,12,4.5
200002,7,4.6
200002,6,5
200002,13,5
200002,14,5.6
200003,8,0.7
200003,9,1.2
200003,10,1.2
200003,1,1.7
200003,11,2.7
200003,26,2.9
200003,14,3.4
200003,2,3.6
200003,13,3.9
200003,7,4
200003,25,4.3
200003,21,5.3
200003,12,5.4
200003,15,5.4
200003,17,5.7
200003,22,5.9
200003,6,6.1
200003,20,6.1
200003,3,6.2
200003,5,6.4
200003,4,6.5
200003,24,6.7
200003,18,7.2
200003,19,8
200003,16,8.1
200003,23,8.3
200003,27,8.7
200003,29,8.7
200003,30,8.7
200003,31,11
200003,28,12.9
200004,2,7.6
200004,11,7.8
200004,1,8.4
200004,16,9.2
200004,6,9.4
200004,28,9.4
200004,15,9.9
200004,17,10
200004,3,10.1
200004,8,11
200004,5,11.2
200004,24,11.6
200004,12,11.7
200004,29,12
200004,4,12.1
200004,7,12.8
200004,27,12.9
200004,9,13.5
200004,13,13.6
200004,14,13.7
200004,18,13.8
200004,25,13.9
200004,19,14.1
200004,30,14.1
200004,23,14.2
200004,26,14.3
200004,21,14.4
200004,20,14.5
200004,10,15.6
200004,22,15.8
200005,3,13
200005,4,13.3
200005,2,15.6
200005,12,15.8
200005,1,15.9
200005,5,15.9
200005,16,15.9
200005,18,16.3
200005,15,16.5
200005,17,16.5
200005,14,17.3
200005,21,17.7
200005,19,17.8
200005,13,18.3
200005,20,18.7
200005,9,18.9
200005,31,18.9
200005,6,19.4
200005,7,19.5
200005,8,19.5
200005,25,20
200005,28,20.1
200005,24,20.5
200005,29,20.6
200005,10,21.3
200005,11,21.4
200005,22,21.5
200005,23,21.5
200005,30,21.7
200005,27,22.5
200005,26,24.3
200006,10,18.1
200006,1,18.2
200006,9,18.4
200006,4,18.5
200006,11,18.5
200006,12,18.7
200006,2,19.1
200006,13,19.3
200006,3,19.7
200006,5,19.7
200006,14,20.4
200006,18,21.5
200006,28,21.5
200006,17,21.8
200006,19,21.9
200006,22,22.1
200006,23,22.4
200006,27,22.9
200006,24,23
200006,21,23.1
200006,25,23.2
200006,6,23.4
200006,20,23.4
200006,7,23.6
200006,29,23.8
200006,8,24.2
200006,15,24.3
200006,26,24.6
200006,16,25.4
200006,30,27.6
200007,9,23.7
200007,8,24.1
200007,10,24.3
200007,5,24.4
200007,15,25.1
200007,6,25.2
200007,25,25.2
200007,7,25.6
200007,26,25.6
200007,4,25.8
200007,18,26.3
200007,3,26.4
200007,17,26.7
200007,19,26.8
200007,27,26.8
200007,14,27
200007,11,27.1
200007,20,27.4
200007,13,27.5
200007,2,27.6
200007,16,27.7
200007,28,27.7
200007,1,27.9
200007,21,28.3
200007,22,29.5
200007,29,29.9
200007,24,30
200007,12,30.1
200007,30,30.7
200007,23,30.9
200007,31,31.3
200102,15,0.3
200102,9,0.4
200102,11,1
200102,12,1
200102,14,1
200102,2,1.6
200102,13,1.8
200102,17,1.8
200102,10,1.9
200102,16,2
200102,26,2
200102,4,2.3
200102,8,2.7
200102,25,2.7
200102,3,2.8
200102,1,3.5
200102,7,3.5
200102,20,3.5
200102,5,3.8
200102,6,4.1
200102,27,5
200102,18,5.5
200102,19,5.5
200102,24,5.6
200102,21,6.2
200102,23,7.2
200102,28,7.3
200102,22,7.8
200103,11,1.1
200103,8,1.2
200103,10,1.3
200103,9,1.8
200103,12,2.7
200103,13,2.9
200103,2,3.3
200103,31,3.8
200103,5,4.2
200103,30,4.3
200103,16,4.8
200103,3,5.4
200103,4,5.4
200103,1,5.5
200103,7,6.3
200103,17,6.8
200103,27,7.5
200103,28,7.5
200103,6,7.7
200103,29,8.3
200103,15,8.7
200103,14,8.8
200103,18,9.8
200103,26,10
200103,19,10.3
200103,23,10.5
200103,21,11.4
200103,20,12
200103,24,13.1
200103,22,13.2
200103,25,14
200104,1,5.5
200104,4,7.3
200104,3,8.7
200104,21,9.9
200104,22,10.2
200104,26,10.9
200104,5,11
200104,12,11
200104,2,11.1
200104,20,11.1
200104,13,11.2
200104,14,11.9
200104,25,11.9
200104,6,12
200104,15,12.4
200104,27,12.7
200104,23,13.5
200104,24,14.1
200104,7,14.2
200104,16,14.9
200104,10,15.8
200104,11,16.5
200104,19,16.7
200104,18,16.8
200104,28,16.8
200104,29,17
200104,17,17.1
200104,8,17.3
200104,30,17.3
200104,9,18.4
200105,3,13.9
200105,4,14
200105,2,15.2
200105,12,15.3
200105,1,15.4
200105,11,15.5
200105,10,16.5
200105,5,16.9
200105,25,18.2
200105,31,18.2
200105,28,18.6
200105,9,18.7
200105,17,18.7
200105,23,18.7
200105,24,18.7
200105,13,18.8
200105,8,19
200105,27,19.4
200105,16,19.7
200105,6,20.1
200105,22,20.7
200105,26,20.7
200105,19,21.2
200105,7,21.4
200105,14,21.5
200105,30,21.6
200105,29,22
200105,18,22.1
200105,15,23.3
200105,20,23.5
200105,21,24.6
200106,15,18.1
200106,14,18.3
200106,16,18.6
200106,2,19
200106,12,19.4
200106,1,19.6
200106,21,19.8
200106,8,19.9
200106,11,20
200106,7,20.3
200106,6,20.5
200106,20,20.5
200106,17,20.7
200106,13,20.9
200106,22,21.2
200106,3,21.4
200106,5,21.4
200106,9,21.5
200106,10,21.6
200106,23,21.6
200106,19,21.8
200106,4,22.3
200106,24,23.4
200106,27,23.7
200106,18,24.1
200106,30,24.3
200106,28,25
200106,26,25.4
