年月,日,3-1氣温(℃)-平均
200002,8,2.9
200002,15,3.6
200002,16,3.6
200002,1,3.7
200002,9,3.9
200002,19,4.4
200002,17,4.8
200002,22,5.1
200002,10,5.4
200002,29,5.5
200002,25,5.6
200002,2,5.7
200002,26,5.8
200002,3,6.1
200002,21,6.2
200002,23,6.2
200002,18,6.4
200002,24,6.4
200002,27,6.4
200002,28,6.7
200002,4,6.9
200002,5,7.2
200002,7,7.8
200002,11,7.8
200002,12,7.9
200002,20,8
200002,13,8.6
200002,6,9.2
200002,14,9.5
200003,11,6.2
200003,1,6.4
200003,9,6.4
200003,8,7
200003,10,7.3
200003,7,8.7
200003,12,8.7
200003,2,9.2
200003,13,9.4
200003,14,9.7
200003,20,10
200003,25,10.1
200003,17,10.3
200003,21,10.4
200003,24,10.4
200003,29,10.5
200003,23,10.7
200003,15,10.8
200003,18,11.1
200003,6,11.2
200003,16,11.3
200003,3,11.7
200003,31,11.8
200003,19,12.1
200003,22,12.2
200003,30,12.2
200003,4,12.3
200003,5,12.3
200003,28,13
200003,26,13.4
200003,27,15.2
200004,11,12.2
200004,1,13
200004,6,13
200004,16,13.4
200004,8,13.6
200004,2,13.7
200004,5,13.9
200004,4,14
200004,15,14.1
200004,7,14.2
200004,12,14.4
200004,30,14.4
200004,3,14.8
200004,28,14.8
200004,27,14.9
200004,20,15
200004,10,15.1
200004,17,15.2
200004,26,15.2
200004,24,15.5
200004,23,15.6
200004,9,15.8
200004,21,15.9
200004,25,16
200004,29,16
200004,19,17.2
200004,13,17.3
200004,14,17.4
200004,18,18.1
200004,22,18.6
200005,3,15.6
200005,13,16.4
200005,2,16.5
200005,17,16.7
200005,11,17.2
200005,12,17.2
200005,16,17.2
200005,1,17.3
200005,4,17.4
200005,15,17.5
200005,14,17.6
200005,18,18
200005,8,18.5
200005,7,18.8
200005,9,18.8
200005,21,19.4
200005,5,19.5
200005,31,19.6
200005,10,19.8
200005,19,19.8
200005,30,19.9
200005,6,20.9
200005,20,21
200005,29,21.1
200005,28,21.9
200005,22,22
200005,27,22.1
200005,26,22.4
200005,24,23.6
200005,25,23.8
200005,23,23.9
200006,10,19.6
200006,9,19.7
200006,11,19.9
200006,12,20.5
200006,13,20.5
200006,1,21
200006,17,21
200006,3,21.1
200006,5,21.1
200006,4,21.2
200006,2,21.4
200006,18,21.8
200006,28,21.8
200006,8,22.1
200006,14,22.3
200006,6,22.7
200006,19,23.2
200006,25,23.4
200006,29,23.8
200006,21,23.9
200006,7,24.2
200006,20,24.3
200006,24,24.3
200006,15,25.4
200006,16,25.5
200006,26,25.6
200006,22,26.3
200006,23,27.1
200006,27,27.1
200006,30,29.1
200007,8,24.7
200007,9,24.9
200007,5,25.2
200007,7,25.4
200007,6,25.5
200007,24,26.8
200007,31,26.9
200007,10,27.2
200007,4,27.3
200007,11,27.9
200007,13,27.9
200007,25,27.9
200007,2,28.1
200007,3,28.1
200007,14,28.3
200007,26,28.4
200007,27,28.4
200007,1,28.5
200007,17,28.5
200007,16,28.7
200007,18,28.9
200007,12,29
200007,19,29.5
200007,20,29.9
200007,15,30
200007,28,30.2
200007,21,30.3
200007,30,30.5
200007,22,30.8
200007,23,30.8
200007,29,30.8
200102,9,4.2
200102,2,5.1
200102,17,5.1
200102,10,5.2
200102,14,5.2
200102,4,5.4
200102,16,5.4
200102,3,5.6
200102,15,5.7
200102,26,5.7
200102,11,6
200102,8,6.3
200102,25,6.3
200102,12,6.5
200102,13,6.6
200102,1,7.2
200102,5,7.9
200102,18,8.8
200102,7,9
200102,27,9.3
200102,20,9.5
200102,24,9.7
200102,6,10.4
200102,19,10.5
200102,21,11.5
200102,22,11.5
200102,23,12.3
200102,28,12.4
200103,9,3.5
200103,8,3.6
200103,4,6
200103,12,7
200103,5,7.4
200103,10,8.1
200103,13,8.1
200103,7,8.6
200103,31,8.6
200103,11,8.8
200103,30,9
200103,29,9.2
200103,1,9.8
200103,2,9.9
200103,17,10.3
200103,16,10.7
200103,3,11
200103,27,12
200103,6,12.3
200103,18,12.4
200103,28,12.7
200103,19,13.6
200103,14,13.7
200103,26,13.9
200103,15,14.1
200103,23,14.9
200103,25,15
200103,20,15.4
200103,21,15.4
200103,24,15.8
200103,22,17.2
200104,1,9.2
200104,4,11.2
200104,12,12.4
200104,2,13.1
200104,3,13.6
200104,5,13.7
200104,21,13.8
200104,22,14
200104,26,14.6
200104,24,14.7
200104,25,14.9
200104,6,15.3
200104,15,15.3
200104,7,15.5
200104,13,15.7
200104,20,15.8
200104,16,16
200104,23,16
200104,27,16.1
200104,11,16.2
200104,14,16.2
200104,17,16.5
200104,9,16.7
200104,30,16.8
200104,18,16.9
200104,29,17
200104,10,17.2
200104,19,18
200104,28,18
200104,8,18.8
200105,2,14.5
200105,3,14.9
200105,4,15.7
200105,1,16.1
200105,24,18
200105,5,18.3
200105,11,18.7
200105,12,18.8
200105,30,18.9
200105,9,19.3
200105,10,19.4
200105,25,19.7
200105,8,19.9
200105,13,20.2
200105,21,20.2
200105,31,20.4
200105,15,20.8
200105,7,21
200105,14,21
200105,18,21.4
200105,28,21.4
200105,6,21.7
200105,19,21.9
200105,27,22
200105,26,22.1
200105,29,22.2
200105,16,22.4
200105,17,22.4
200105,20,22.8
200105,23,22.9
200105,22,23
200106,14,20.2
200106,15,20.8
200106,23,20.8
200106,1,21
200106,16,21.2
200106,21,21.3
200106,22,21.4
200106,5,21.6
200106,13,21.6
200106,9,22.1
200106,20,22.1
200106,2,22.3
200106,7,22.3
200106,8,22.5
200106,11,22.8
200106,4,23
200106,6,23.1
200106,10,23.3
200106,3,23.4
200106,12,23.5
200106,17,23.6
200106,19,25.5
200106,24,26.3
200106,18,26.5
200106,29,26.6
200106,28,26.8
200106,25,27.2
200106,27,27.7
200106,26,28.2
200106,30,29.3
200107,6,23
200107,7,24
200107,17,24.7
200107,8,24.8
200107,18,25.5
200107,9,25.8
200107,11,25.9
200107,12,25.9
200107,19,26.5
200107,16,26.6
200107,10,26.7
200107,5,27.5
200107,3,27.9
200107,4,27.9
200107,13,27.9
200107,15,27.9
200107,20,28.2
200107,27,28.2
200107,26,28.8
200107,14,29
200107,21,29.3
200107,2,29.4
200107,25,29.5
200107,29,29.5
200107,1,29.7
200107,28,29.7
200107,22,29.8
200107,24,30.2
200107,31,30.2
200107,23,30.6
200107,30,30.7
200202,1,4.8
200202,19,5.5
200202,12,5.8
200202,13,6
200202,11,6.1
200202,10,6.6
200202,14,7
200202,15,7
200202,2,7.1
200202,3,7.4
200202,20,7.7
200202,4,8
200202,18,8
200202,16,8.3
200202,9,8.7
200202,5,8.9
200202,25,9
200202,6,9.3
200202,8,9.4
200202,7,9.6
200202,26,9.7
200202,21,10.4
200202,23,10.4
200202,24,10.4
200202,17,10.6
200202,27,10.9
200202,28,10.9
200202,22,11.8
200203,7,7.6
200203,8,7.6
200203,6,9.4
200203,3,10.1
200203,24,10.2
200203,2,10.4
200203,1,10.5
200203,5,10.5
200203,9,10.5
200203,4,10.8
200203,22,10.8
200203,23,10.9
200203,25,11.4
200203,12,11.9
200203,11,12.9
200203,27,13.4
200203,13,13.6
200203,18,13.6
200203,26,13.7
200203,17,13.9
200203,19,13.9
200203,16,14.2
200203,30,14.2
200203,10,14.5
200203,28,14.5
200203,31,14.8
200203,29,15.1
200203,14,15.2
200203,21,15.5
200203,15,15.8
200203,20,17.2
200204,11,11.5
200204,10,12.4
200204,4,13.3
200204,12,13.3
200204,9,13.4
200204,18,13.5
200204,26,14.3
200204,25,14.7
200204,19,14.8
200204,3,15.1
200204,27,15.2
200204,13,16.1
200204,8,16.2
200204,5,16.5
200204,20,16.5
200204,17,16.6
200204,1,16.8
200204,6,17
200204,21,17
200204,28,17.1
200204,2,17.5
200204,15,17.5
200204,24,17.9
200204,7,18
200204,22,18.6
200204,14,19.8
200204,23,20.5
200204,29,21.6
200204,16,21.8
200204,30,22.4
200205,11,15.5
200205,10,16.4
200205,8,16.5
200205,1,16.7
200205,12,16.7
200205,9,17.1
200205,17,17.5
200205,18,17.6
200205,15,17.7
200205,6,18.3
200205,20,18.3
200205,19,18.5
200205,5,18.6
200205,2,18.7
200205,13,19.3
200205,23,19.8
200205,4,19.9
200205,14,20.1
200205,22,20.2
200205,3,20.3
200205,27,20.3
200205,16,20.7
200205,24,20.7
200205,7,21
200205,21,21.1
200205,30,21.2
200205,31,21.3
200205,25,21.4
200205,28,21.4
200205,26,21.8
200205,29,23.8
200206,24,18.9
200206,25,19.2
200206,26,20.8
200206,27,20.9
200206,23,22.4
200206,1,22.5
200206,14,22.8
200206,2,23.1
200206,3,23.2
200206,15,23.2
200206,28,23.2
200206,20,23.3
200206,4,23.4
200206,22,23.5
200206,29,23.7
200206,5,24.2
200206,30,24.3
200206,6,24.4
200206,16,24.4
200206,9,24.5
200206,13,24.8
200206,17,25.1
200206,21,25.1
200206,8,25.2
200206,10,25.2
200206,18,25.2
200206,19,25.2
200206,12,25.3
200206,7,25.7
200206,11,25.8
200207,11,23.7
200207,10,24
200207,1,24.5
200207,6,26.3
200207,12,26.3
200207,5,26.6
200207,19,26.9
200207,9,27.1
200207,8,27.3
200207,18,27.4
200207,3,27.5
