年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1019,1022.3,18.5,5.5,1.5,-3.3,-0.7,-5,86,53,1.5,5.3,北西,10.7,北西,4.5,34,53,晴後雪,雪
200001,2,1018.7,1022,1.5,0.5,0.5,-3.8,0.2,-6.4,86,67,1.2,2.6,南東,4.4,東,5.3,8,53,晴時々曇一時雪,曇一時晴
200001,3,1010.1,1013.3,6.5,1,0.5,-2.4,-0.1,-6.7,89,76,1.7,3,南南東,6.2,南南東,--,7,48,雪一時曇,雪
200001,4,1014.2,1017.5,6.5,1,0.5,-0.7,0.3,-1.3,91,81,1.1,3.1,東北東,6,東北東,--,7,50,雪後時々曇,雪後時々曇
200001,5,1022.5,1025.8,2.5,1,1,-1.7,2,-4.3,81,52,1.4,3.7,北北西,7.9,北西,5.1,6,51,晴後時々雪,晴時々曇一時雪
200001,6,1020.2,1023.5,3.5,1.5,0.5,-2,1.5,-7.6,80,58,3.2,8.5,南南東,17.8,南南東,4.6,4,52,晴後曇時々雪,雪後時々雨
200001,7,1005.8,1009,3,1,0.5,2.4,6.5,-2.1,72,42,4.3,10.9,南南東,23.5,南南東,0.4,0,52,雨後曇一時雪,曇時々晴
200001,8,1011.9,1015.2,0,0,0,-2.8,-1.5,-5.4,61,43,2.1,3.8,南南東,6.8,南南東,1.3,0,37,曇,晴
200001,9,1018.1,1021.4,--,--,--,-2.3,2,-7.5,64,44,1.8,3.7,南南西,8.1,西南西,4.4,--,36,晴時々曇,曇後一時雪
200001,10,1008.2,1011.4,19,3.5,1,-0.2,1.9,-2.5,91,71,3.2,9.5,北北西,22,北西,--,17,51,雪,雪
200001,11,1011,1014.3,9.5,2.5,0.5,-4.4,-0.4,-6.8,77,54,4.4,7.1,西北西,18.6,北西,0.8,9,60,雪,雪
200001,12,1021.8,1025.2,7.5,2,0.5,-5.1,-1.3,-7.3,71,39,2.5,4.4,西北西,9.7,西,7.6,11,69,晴一時雪,晴後曇
200001,13,1014.1,1017.4,2.5,0.5,0.5,-2.8,0.5,-7.2,88,68,2.1,4.4,南南東,7.9,南,--,3,61,雪,曇時々雪、みぞれを伴う
200001,14,1004.8,1008,3.5,2,0.5,2.2,3.2,-0.2,83,71,4.1,6.9,北西,13.6,北,0.2,0,59,曇時々雪、みぞれを伴う,雪、あられを伴う
200001,15,1018.2,1021.5,3.5,2,1,-0.3,1.7,-2.6,76,59,3.1,5.9,北北西,12.1,北北西,0.6,3,56,雪,雪後曇
200001,16,1018.3,1021.6,1,0.5,0.5,-2.1,0.2,-5.3,75,59,1.7,3.3,南東,5.9,東南東,6.2,0,57,曇,雪一時曇
200001,17,1012.4,1015.7,2,1,0.5,-1.7,1.8,-6.8,80,46,2.2,5.5,北北西,9.6,北,4.6,6,58,晴一時雪,晴後一時雪
200001,18,1012.1,1015.4,0,0,0,-3.8,-0.1,-6.8,75,60,1.2,2.5,北北東,4.8,南東,8.4,0,57,晴,晴後一時雪
200001,19,1010.3,1013.6,3,1,0.5,-3.1,0.5,-7.8,87,75,1.6,3.3,東南東,7.3,東,1.1,8,60,雪,曇後雪
200001,20,1004.9,1008.2,2.5,0.5,0.5,-1,1.1,-3.1,79,67,1.6,3.8,北北西,6,北北西,0.4,3,61,曇一時雪,雪時々曇
200001,21,1013.8,1017.2,9,2.5,1,-4.4,-1.8,-7.1,78,52,2.4,7.5,北北西,15.4,北北西,2.2,17,74,雪時々曇一時晴,雪
200001,22,1022.1,1025.5,2.5,0.5,0.5,-4.2,-1.3,-7.7,79,55,1.5,3.4,北北西,7.8,北北西,1.6,8,74,曇時々雪一時晴,雪時々曇
200001,23,1015.7,1019,3.5,2,1,-2.5,0.3,-4.2,86,63,1.6,6.1,北西,12.8,北北西,0.8,2,71,雪後一時曇,雪時々曇
200001,24,1012.3,1015.6,0.5,0.5,0.5,-5.3,-1,-9,74,43,2.5,5.7,北西,12.7,西北西,2.9,6,71,曇後時々雪,曇時々雪後一時晴
200001,25,1011.1,1014.5,4,2,0.5,-8.9,-6.9,-11.2,59,33,3,5.8,西,13.3,西北西,7.7,3,72,晴一時雪,雪
200001,26,1014.1,1017.5,9,3,1,-10.3,-9.1,-12.3,84,64,2.1,5.6,西,11.2,西,--,22,83,雪,雪
200001,27,1017.1,1020.4,0,0,0,-9.4,-4.3,-14.7,82,62,1.1,2.4,東北東,4.2,北北西,4.3,5,83,雪後晴,晴後曇一時雪
200001,28,1019.5,1022.9,1,0.5,0.5,-2.8,1.5,-9,82,60,1.5,5.7,北北西,9.2,北北西,3.3,2,78,晴時々雪,雪後曇
200001,29,1024.5,1027.8,--,--,--,-1.3,3.8,-4.9,77,51,1.2,3.5,東南東,6.1,南東,4,2,75,晴時々曇,晴後時々雪
200001,30,1011.6,1014.9,5.5,2.5,1,-1,4.2,-4.7,86,68,3.3,7.9,北西,18.3,北西,1.7,6,74,曇後雪,雪後一時曇
200001,31,1015,1018.3,0.5,0.5,0.5,-6.4,-3.1,-11.1,66,43,3.1,8.7,北北西,18.3,北北西,6.6,3,72,曇時々雪,曇時々雪
200002,1,1012.8,1016.1,0.5,0.5,0.5,-1.5,1.4,-5.7,71,58,2.3,5.1,西,11.2,西北西,0.4,0,72,雪後曇,曇後時々雪
200002,2,1015.4,1018.7,2.5,0.5,0.5,-1.5,1.1,-4,81,62,1.9,4.2,北北西,8.3,北西,2.5,5,72,雪一時晴,雪後一時晴
200002,3,1016,1019.3,1,0.5,0.5,-2.5,1.3,-8.4,77,52,1.4,2.9,南南東,4.9,南,5.6,3,75,曇時々晴,曇時々雪
200002,4,1017,1020.3,0.5,0.5,0.5,-2.4,-0.6,-4.8,70,52,2.6,6.4,北北西,13.1,西北西,4.6,0,67,晴時々曇,雪時々曇
200002,5,1018.5,1021.8,0,0,0,-2.3,2.6,-7.2,68,43,2.2,5.2,北西,11,北西,3.8,1,65,曇時々晴一時雪,曇一時雪
200002,6,1013.5,1016.8,0,0,0,-2.3,0,-5.6,72,60,1.7,3.2,東,5.7,西北西,4,0,64,曇時々雪一時晴,晴
200002,7,1005.3,1008.5,0,0,0,-3.3,0.9,-8.4,66,45,1.6,4,北北西,7.1,北,8.9,0,63,晴,曇時々雪
200002,8,999.2,1002.5,0,0,0,-3.8,-0.5,-6.6,64,45,1.8,4.4,北西,7.8,北北西,3.5,2,65,雪後薄曇,曇後時々晴
200002,9,999.2,1002.5,0,0.5,0,-5.8,-2.6,-9.4,62,44,2.6,7,北西,13.6,北北西,6.9,0,71,晴,雪時々曇
200002,10,1003.9,1007.2,3,1.5,1,-4.3,-0.3,-8.6,75,43,2.3,5.2,北北西,13,西北西,4.3,18,82,曇時々雪,雪
200002,11,1004.4,1007.7,0.5,0.5,0.5,-3,-0.6,-5.8,69,47,2,4.4,北西,10.4,北西,2.8,0,75,曇時々晴一時雪,晴
200002,12,1004.1,1007.4,3.5,2,1,-4.2,-0.5,-7.8,65,36,3,8.1,西,17.7,西,7.7,4,76,晴,雪
200002,13,1008.8,1012.1,10,4,1,-4.5,-1.6,-6.8,73,50,2.9,6,北北西,12.6,北西,1.8 ,22,91,雪後時々晴,晴後曇一時雪
200002,14,1004.4,1007.7,2,1,0.5,-4.1,-2.2,-7,80,68,1.6,3.8,北北西,6.5,北北西,0.2,8,87,雪一時曇,雪時々曇
200002,15,992.6,995.8,3.5,1.5,0.5,-5.8,-2.6,-9.1,85,63,1.5,3.3,北北西,6.2,北北東,2,14,90,雪,曇時々雪後一時晴
200002,16,995.2,998.5,4.5,2.5,1,-6.4,-1.9,-11.8,83,51,2.8,6.4,北北西,15.1,北西,1.4,23,100,雪,雪
200002,17,1004.3,1007.5,2,0.5,0.5,-2,0.9,-4.4,76,60,3.2,5.6,北西,12.3,北西,2.6,2,97,雪時々曇,曇時々雪
200002,18,1006.4,1009.7,0.5,0.5,0.5,-1.4,1.8,-4.3,74,52,1.6,3.5,東北東,7.7,北北西,6.4,1,91,曇時々晴,雪時々曇、あられを伴う
200002,19,1010.6,1013.8,3.5,2,1,-1.4,1.8,-4.5,79,56,1.8,3.8,北北西,7.9,北西,3.9,8,94,晴時々曇一時雪,曇一時雪
200002,20,1002.8,1006,1.5,1,0.5,-1.3,2.1,-4.5,81,54,1.9,3.3,北西,6.9,北西,3.7,2,89,晴後雪,曇時々雪後一時晴
200002,21,998.1,1001.3,2.5,2.5,1,-2.7,1.2,-8,72,44,2.4,5.5,北北西,10.8,北西,4.3,3,90,晴一時雪,晴一時雪
200002,22,1006.6,1009.9,3.5,1.5,0.5,-6.4,-2.9,-10.9,73,51,1.6,4.7,北,10.9,北,5.1,6,92,晴後雪時々曇,大雪
