年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1015.4,1021.1,0,0,0,-7.7,-0.6,-13.2,71,44,1.8,5.3,西北西,10.4,西北西,6.9,0,28,晴一時雪,快晴
200001,2,1015.9,1021.6,--,--,--,-9.2,-0.5,-16.6,71,47,1.9,3.2,南西,4.4,南西,8.5,--,28,快晴,晴後曇
200001,3,1012.2,1017.8,5,1,0.5,-6,-1.7,-13.2,87,75,×,2.7,南南西,4,南西,--,8,36,雪,雪
200001,4,1012.5,1018,0.5,0.5,0.5,-2.2,0.9,-5,81,58,×,2.5,南西,3.8,東南東,3.4,2,36,曇後晴,曇後一時雪
200001,5,1019,1024.6,0,0,0,-5.3,0.8,-12.2,74,45,1.6,3.3,北西,6.8,北西,8.6,0,35,快晴,快晴
200001,6,1022.2,1027.9,4,2.5,0.5,-9.1,-3.7,-16.3,76,54,1.5,2.8,南西,3.8,南西,5.3,1,39,晴後曇,大雪
200001,7,1007.6,1013,31,4.5,1,-1.6,2,-4.8,89,55,×,4.1,西,7.7,北西,--,42,77,大雪後曇,晴時々曇
200001,8,1009.6,1015.1,--,--,--,-4.5,-0.7,-9.6,73,50,1.5,3.4,南西,5.7,北西,1.7,--,70,曇,曇後晴
200001,9,1016.6,1022.3,--,--,--,-10,-2.5,-16.1,79,56,1.6,3.8,南西,4.8,南西,8.5,--,66,快晴,晴後曇
200001,10,1005.8,1011.4,26,5,1.5,-6,1,-13.2,87,70,×,9.3,西北西,18.1,西北西,--,29,92,大雪,晴一時曇
