年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1015.2,1020.3,--,--,--,8.3,13.4,4.9,53,31,3.8,7.4,北,13.4,北,8.3,--,--,晴後一時薄曇,曇後一時晴
200001,2,1014.5,1019.7,0.0,0.0,0.0,7.0,8.6,4.8,51,42,2.4 ),4.2,北北東,8.6,北北東,0.6,--,--,曇一時晴,曇後一時雨
200001,3,1005.7,1010.8,0.0,0.0,0.0,9.5,18.0,4.3,55,30,3.4,10.1,南西,19.0,南西,8.2,--,--,晴,晴
200001,4,1012.3,1017.4,--,--,--,9.5,13.8,6.5,42,28,3.9,7.3,北,11.9,北,9.1,--,--,快晴,晴後一時曇
200001,5,1018.9,1024.0,0.0,0.0,0.0,9.0,11.4,6.2,51,37,2.7,5.3,北,9.6,北,1.6,--,--,曇一時晴,曇
200001,6,1014.7,1019.8,0.5,0.5,0.5,10.2,13.4,8.1,60,51,3.1,6.1,北,9.3,北,1.1,--,--,曇一時晴,曇時々雨
200001,7,1004.7,1009.8,0.5,0.5,0.5,11.7,16.3,8.3,77,46,2.4,5.1,北,9.4,北,1.2,--,--,曇一時雨後時々晴,曇
200001,8,1011.2,1016.3,--,--,--,10.0,12.0,7.2,60,46,2.5,4.2,北,7.6,東,2.0,--,--,曇後一時晴,快晴
200001,9,1016.0,1021.2,--,--,--,8.9,11.8,4.7,62,44,3.0,4.8,北,7.2,北,1.6,--,--,曇一時晴,曇後雨
200001,10,1006.5,1011.5,7.5,4.0,1.5,10.1,14.2,7.4,70,41,3.1,7.7,北,17.5,北,5.4,--,--,雨一時曇後晴,晴後曇
200001,11,1015.2,1020.4,--,--,--,7.6,11.3,4.7,42,30,5.6,8.1,北,16.3,北,3.5,--,--,曇後晴,晴後曇
200001,12,1019.2,1024.5,16.0,2.5,0.5,3.6,5.4,1.8,71,43,5.5,7.3,北,13.1,北,--,--,--,曇後雨,雨
200001,13,1004.9,1010.1,28.0,10.0,2.5,6.8,9.8,2.7,93,83,3.3,8.0,北,12.7,北,--,--,--,曇後一時雨,曇一時雨
200001,14,1003.9,1009.0,--,--,--,11.1,14.2,8.8,74,43,2.5,6.2,北,12.0,北,6.0,--,--,曇後晴,曇後一時雨
200001,15,1014.3,1019.4,0.0,0.0,0.0,8.9,10.9,7.2,66,47,3.2,5.3,東,9.7,東,4.3,--,--,曇一時雨後晴,曇
200001,16,1015.7,1020.9,0.5,0.5,0.5,7.8,9.5,5.9,57,47,2.4,5.2,北,8.2,北,0.5,--,--,曇,雨一時曇
200001,17,1009.3,1014.5,19.5,3.0,1.0,5.1,7.1,2.4,84,68,5.6,7.7,北,12.7,北,--,0,--,雨時々曇一時みぞれ,雨後曇
200001,18,1007.8,1012.9,0.0,0.0,0.0,7.9,10.7,5.6,61,46,3.4,5.8,東,10.4,東北東,7.5,--,--,晴一時曇,曇
200001,19,1009.0,1014.2,2.5,1.5,1.0,5.4,7.5,3.7,77,58,2.7,5.0,北,8.4,北北東,--,--,--,雨時々曇,晴一時曇
200001,20,1004.4,1009.5,--,--,--,7.0,12.4,3.3,51,19,3.3,6.4,西,12.4,南西,9.6,--,--,快晴,快晴
200001,21,1016.1,1021.3,--,--,--,3.7,7.3,0.9,27,16,5.2,9.9,北,19.7,北,8.7,--,--,晴,快晴
200001,22,1024.9,1030.2,0.0,0.0,0.0,4.5,8.7,-0.8,40,19,2.3,4.6,北,7.4,北,9.2,--,--,晴,曇時々雨後晴
200001,23,1017.7,1022.9,1.5,1.5,0.5,6.3,12.9,1.5,67,49,3.0,6.2,南西,13.1,南西,4.8,--,--,晴後雨,晴一時曇
200001,24,1011.4,1016.6,--,--,--,8.5,13.6,4.0,71,52,2.3,3.9,東,6.1,東,4.7,--,--,曇時々晴,曇時々晴一時雨
200001,25,1011.4,1016.6,0.0,0.0,0.0,4.6,8.0,2.6,47,32,5.9,9.4,北,16.9,北,--,0,--,雪後一時曇,曇
200001,26,1012.1,1017.3,--,--,--,3.9,7.3,0.6,35,22,3.6,6.0,北,10.6,北,7.7,--,--,晴後時々曇,曇後晴
200001,27,1014.9,1020.1,0.0,0.0,0.0,2.9,5.6,0.2,45,31,3.7,6.3,東,10.8,東,5.3,--,--,曇時々晴,晴時々曇
200001,28,1021.2,1026.4,--,--,--,4.1,9.6,-1.0,43,23,3.0,6.9,北,11.9,北,9.8,0,--,快晴,快晴
200001,29,1025.8,1031.1,--,--,--,6.2,9.8,0.5,51,30,2.3,3.7,南,6.4,南南西,9.1,--,--,晴後一時薄曇,晴一時曇
200001,30,1015.5,1020.6,--,--,--,9.4,15.2,3.3,49,31,4.7,10.2,南西,19.1,南西,8.3,--,--,晴,晴
200001,31,1013.8,1019.0,--,--,--,6.4,9.4,3.8,39,28,5.7,10.3,北,18.1,北,5.9,--,--,晴後一時曇,曇後晴
200002,1,1017.6,1022.9,--,--,--,5.3,8.7,2.4,31,21,4.3,7.9,北,13.8,北,6.5,--,--,晴時々曇,曇
200002,2,1015.8,1021.0,--,--,--,7.2,12.6,3.9,39,17,3.3,6.1,北,12.3,北,7.6,--,--,晴一時曇,晴
200002,3,1014.9,1020.0,--,--,--,7.1,10.8,3.4,55,33,2.8,5.3,北,7.5,北,8.2,--,--,晴,晴時々曇
200002,4,1013.3,1018.4,--,--,--,7.0,11.7,4.4,48,24,5.1,8.5,北,15.8,北,8.6,--,--,晴,快晴
200002,5,1019.4,1024.6,--,--,--,6.6,10.5,2.5,48,33,2.5,4.0,北,8.0,北,9.7,--,--,晴,晴
200002,6,1009.5,1014.7,0.0,0.0,0.0,6.8,10.1,2.9,64,44,2.9,4.7,北北西,9.7,北北西,2.2,--,--,曇後一時雨,曇一時雨後晴
200002,7,1000.2,1005.3,--,--,--,8.9,13.3,4.3,51,29,2.8,5.7,北,9.5,北,9.6,--,--,晴,曇
200002,8,989.9,994.9,0.5,0.5,0.5,6.9,13.5,0.4,50,26,4.8,10.4,南西,21.4,西南西,7.0,0,0,晴一時曇,晴時々曇一時雪
200002,9,997.1,1002.2,--,--,--,5.1,10.6,1.1,34,13,4.6,9.5,北,18.1,北北西,8.1,0,--,晴後一時曇,快晴
200002,10,1008.9,1014.1,--,--,--,5.2,10.1,1.0,31,15,2.9,5.2,南南東,9.3,南西,10.4,--,--,快晴,晴
200002,11,1006.9,1012.0,--,--,--,5.9,11.1,1.0,46,29,2.5,4.2,北,7.0,北北西,9.9,--,--,快晴,快晴
200002,12,1006.5,1011.6,--,--,--,7.7,12.3,2.8,55,38,2.3,3.8,北,7.3,北北東,9.6,--,--,快晴,快晴
200002,13,1008.0,1013.1,--,--,--,8.1,12.5,4.1,44,30,3.1,5.7,北,9.2,北北西,5.9,--,--,晴後曇,曇
200002,14,1003.1,1008.2,0.0,0.0,0.0,7.0,9.4,5.5,60,38,2.8,6.4,北,10.1,北,2.4,--,--,曇後一時晴,曇後時々晴
200002,15,991.7,996.8,0.0,0.0,0.0,5.0,10.0,1.7,53,26,4.6,10.8,北,18.8,北,5.6,--,--,晴時々曇,晴
200002,16,999.8,1005.0,0.0,0.0,0.0,2.7,7.1,-0.6,38,22,4.3,7.8,北,14.0,北北東,5.4,0,--,晴時々曇一時雪,快晴
200002,17,1007.9,1013.1,--,--,--,3.6,8.7,-0.7,35,17,2.8,5.4,北,8.9,北北東,9.4,--,--,晴,晴一時曇
200002,18,1010.1,1015.3,--,--,--,4.0,8.7,0.2,37,20,3.4,6.8,北,12.3,北,7.0,--,--,晴後一時曇,晴後時々薄曇
200002,19,1012.1,1017.3,--,--,--,4.5,7.1,0.6,40,28,2.6,6.3,北,11.3,北,1.4,--,--,曇,曇後一時雨
200002,20,998.5,1003.6,2.5,1.0,0.5,4.2,6.0,2.3,76,47,3.9,8.8,北,15.2,北,--,--,--,雨後一時曇,曇後一時雪
200002,21,1000.7,1005.8,0.0,0.0,0.0,5.3,9.3,1.3,34,16,5.9 ),10.7,北,18.8,北,8.7,0,--,晴時々曇,快晴
200002,22,1008.3,1013.5,--,--,--,4.2,8.9,0.5,29,14,3.6,7.0,北,12.4,北北西,9.9,--,--,晴後薄曇,薄曇後晴
200002,23,1011.5,1016.7,0.0,0.0,0.0,5.6,10.1,0.9,41,18,3.4,7.5,北,12.2,北,7.7,--,--,晴後薄曇,晴時々薄曇一時雨
200002,24,1006.4,1011.5,--,--,--,5.2,10.8,1.2,43,33,4.7,12.1,北,22.8,北,×,--,--,晴後曇,晴一時曇
200002,25,1012.3,1017.5,--,--,--,3.4,8.0,0.6,26,17,6.0,10.7,北,18.4,北北東,9.7,--,--,快晴,曇時々晴
200002,26,1010.0,1015.2,0.0,0.0,0.0,3.1,5.4,1.1,52,28,2.9,4.5,東,7.1,東,0.1,0,--,曇,曇時々みぞれ後晴
200002,27,1006.5,1011.7,0.0,0.0,0.0,4.8,9.7,-0.1,59,33,3.0,6.2,北,10.2,北北西,8.0,0,--,晴後一時曇,快晴
200002,28,1007.3,1012.4,--,--,--,6.5,11.9,1.8,40,30,5.6,11.5,西南西,22.4,南西,10.5,--,--,晴,晴
200002,29,1013.4,1018.6,--,--,--,4.3,9.5,-0.3,24,10,5.1,10.4,北北西,19.8,北北西,9.8,--,--,晴後一時曇,晴一時曇
200003,1,1018.7,1024.0,--,--,--,5.5,10.7,0.2,32,15,3.2,6.3,北,9.6,北,10.7,--,--,快晴,晴一時曇
200003,2,1016.7,1021.9,--,--,--,6.8,11.9,1.3,36,17,3.0,4.9,北,7.1,北,10.6,--,--,快晴,快晴
200003,3,1019.5,1024.6,--,--,--,10.4,15.4,4.6,44,20,2.9,6.1,南,10.8,南南西,10.1,--,--,晴,薄曇
200003,4,1009.6,1014.6,5.5,2.5,1.5,11.8,16.5,8.3,70,48,3.9,7.7,南南西,13.8,南西,0.1,--,--,曇後雨,雨後曇時々晴
200003,5,1003.7,1008.7,1.0,1.0,0.5,11.3,14.0,7.8,59,30,2.4,4.4,北,8.2,北北東,0.2,--,--,曇,曇一時雨
200003,6,1007.7,1012.8,0.0,0.0,0.0,7.5,10.6,6.0,64,54,2.6,5.0,北北東,12.0,北東,0.1,--,--,曇,曇後晴
200003,7,1001.2,1006.2,--,--,--,10.2,17.7,3.7,54,22,3.0,6.8,西南西,12.2,南西,10.3,--,--,快晴,晴後一時曇
200003,8,1002.5,1007.6,0.0,0.0,0.0,7.6,13.3,4.0,35,21,4.3,10.9,北,20.6,北,9.4,--,--,晴,晴
200003,9,1008.1,1013.2,--,--,--,5.7,12.0,1.7,35,20,4.4,7.9,北,15.8,北北東,9.7,--,--,晴,晴
200003,10,1015.9,1021.1,--,--,--,5.1,9.6,1.4,34,20,3.6,7.3,北,12.3,北,8.8,--,--,晴後一時曇,晴一時曇
200003,11,1011.8,1017.0,--,0.0,0.0,7.0,10.4,2.9,39,24,2.8,6.2,北,10.0,北,0.7,--,--,曇,曇後雨
200003,12,1003.3,1008.5,8.5,2.5,0.5,6.5,9.0,4.2,75,39,3.1,6.3,北,11.2,北,1.3,--,--,雨後曇一時晴,曇一時晴
200003,13,1006.8,1011.9,--,--,--,8.3,15.8,4.4,45,29,4.6,10.2,北,18.5,北,9.5,--,--,晴,晴一時曇
200003,14,1011.8,1016.9,0.0,0.0,0.0,6.8,12.1,3.2,42,20,5.7,9.7,北,17.6,北,7.2,--,--,晴後一時曇,晴一時雨
200003,15,1014.4,1019.5,--,--,--,7.8,12.1,3.2,48,23,3.6,6.4,北,11.0,北,10.1,--,--,晴後時々薄曇,曇後一時雨
200003,16,995.9,1001.0,29.5,8.0,1.5,6.8,8.6,4.8,84,56,3.2,8.7,北,14.5,北,--,--,--,雨後一時曇,晴時々曇
