年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,986.9,1021.4,--,--,--,4.5,12.8,-1.7,63,31,2.2,8.0,北西,12.3,北西,7.8,--,--,晴後時々薄曇,晴時々曇
200001,2,985.0,1019.5,--,--,--,3.9,9.7,-0.9,63,40,1.0,1.8,南,3.4,南東,3.7,--,--,曇一時晴,晴
200001,3,977.7,1011.6,--,--,--,6.5,15.2,-0.4,56,25,2.9,9.9,北西,14.8,北西,8.4,--,--,晴,快晴
200001,4,983.2,1017.2,--,--,--,6.7,15.4,-0.7,45,19,2.0,5.6,北西,9.7,北西,9.0,--,--,快晴,晴
200001,5,989.9,1024.4,--,--,--,5.3,11.3,-1.6,58,35,1.0,1.9,南南東,3.4,南南西,6.2,--,--,曇時々晴,曇
200001,6,985.8,1020.0,0.0,0.0,0.0,7.0,9.7,3.8,72,57,1.0,2.7,南東,4.1,南東,--,--,--,曇後時々雨,雨、霧を伴う
200001,7,976.2,1009.6,3.0,1.5,1.0,10.2,19.0,4.4,73,15,1.6 ),3.8,北西,9.5,北北東,5.3,--,--,晴一時曇、霧を伴う,晴
200001,8,982.7,1017.1,--,--,--,4.6,9.4,1.0,76,51,1.3,3.2,北西,5.2,北西,1.2,--,--,曇後時々晴,快晴
200001,9,987.5,1022.0,--,--,--,4.4,9.4,-1.8,75,47,0.8,2.1,南南東,3.5,南南東,3.8,--,--,曇一時晴,曇後雨
200001,10,978.6,1012.3,13.0,4.5,1.5,8.7,14.4,4.4,66,25,2.6,9.8,北,22.0,北北西,6.5,--,--,晴時々雨,晴
200001,11,986.7,1021.0,--,--,--,5.6,11.6,1.3,49,27,2.6,7.2,北西,11.8,北西,8.7,--,--,晴,曇
200001,12,989.6,1024.3,6.5,1.5,0.5,3.5,6.1,2.2,74,51,1.1,2.5,東南東,5.0,東南東,--,0,--,曇一時みぞれ後時々雨,雨後一時曇
200001,13,976.9,1010.9,7.0,1.5,0.5,5.9,8.3,3.5,93,80,1.0,2.7,西北西,3.8,北西,--,--,--,雨時々曇,曇一時雨後霧
200001,14,975.7,1009.1,0.0,0.0,0.0,10.4,17.6,6.1,63,15,2.9,6.7,北西,13.3,北北西,7.3,--,--,晴一時曇、霧を伴う,曇一時晴
200001,15,984.6,1018.5,0.0,0.0,0.0,8.1,14.2,5.0,52,20,2.2,5.9,北西,9.1,西北西,7.4,--,--,晴時々曇,曇時々晴
200001,16,985.9,1020.0,0.0,0.0,0.0,7.0,10.9,4.1,63,47,1.3,3.3,西南西,5.1,西南西,4.6,--,--,曇時々晴,曇後雨
200001,17,980.3,1014.5,12.0,2.5,1.0,4.5,6.4,1.7,91,80,1.2,3.1,南東,4.4,南東,--,0,--,雨一時みぞれ,曇一時雨後晴
200001,18,978.8,1012.8,0.0,0.0,0.0,6.1,10.8,1.3,67,38,1.9,4.9,西北西,7.7,西北西,5.6,--,--,晴後時々曇,曇一時雨
200001,19,978.6,1012.6,0.0,0.0,0.0,6.4,11.6,3.0,66,45,1.4,4.5,南西,6.9,南西,6.6,--,--,曇後晴,快晴
200001,20,977.0,1011.3,--,--,--,3.8,9.7,-0.5,51,19,4.3,10.8,北北西,20.0,北北西,9.2,--,--,快晴,快晴
200001,21,987.5,1022.5,--,--,--,1.3,4.6,-0.4,28,15,7.0,11.3,北西,20.3,北北西,9.3,--,--,晴,快晴
200001,22,995.9,1031.2,--,--,--,1.0,7.4,-5.3,40,19,1.9,9.0,北,16.6,北,9.3,--,--,晴,晴
200001,23,990.2,1025.2,1.5,1.0,0.5,1.6,6.4,-3.1,77,42,1.4,4.4,西北西,6.8,西,4.5,0,--,曇時々晴後時々雨,曇一時雨後一時霧
200001,24,983.5,1018.0,--,--,--,3.6,8.0,1.5,92,75,1.0,2.3,北北東,3.3,北西,0.2,--,--,曇一時霧後一時晴,晴後曇
200001,25,981.7,1016.3,0.0,0.0,0.0,2.4,5.6,-1.5,70,44,3.0,7.4,北西,12.3,北北西,0.8,0,--,曇時々雪後晴,晴
