年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1020.6,1022.7,--,--,--,7.0,11.8,2.7,60,36,3.7,8.0,北西,14.9,北北西,8.8,--,--,晴後薄曇,晴
200001,2,1016.7,1018.7,0.0,0.0,0.0,6.3,12.1,-0.1,66,42,1.3,4.0,北北西,5.4,北,1.6,--,--,曇一時晴,曇一時雨
200001,3,1012.8,1014.8,0.0,0.0,0.0,9.4,13.9,6.8,67,39,2.5,9.4,西北西,16.2,西北西,5.6,--,--,晴時々曇一時雨,晴一時曇
200001,4,1019.0,1021.0,--,--,--,8.3,13.2,3.5,57,36,3.5,7.3,西北西,12.5,北西,7.6,--,--,晴,快晴
200001,5,1021.7,1023.8,--,--,--,6.3,12.7,0.4,65,34,1.0,3.2,西北西,4.3,西,8.4,--,--,薄曇一時晴,曇
200001,6,1015.6,1017.6,4.0,1.5,0.5,9.0,10.4,7.2,85,70,1.4,3.6,北西,5.4,北西,--,--,--,雨時々曇,雨時々曇
200001,7,1012.6,1014.6,8.0,5.5,2.0,10.2,14.2,5.3,74,51,3.7,8.2,西北西,14.0,西北西,2.7,--,--,曇後時々晴,晴
200001,8,1018.8,1020.9,--,--,--,5.5,10.0,2.0,72,49,2.3,5.0,西南西,8.9,西,4.4,--,--,晴時々曇,晴
200001,9,1019.9,1022.0,0.0,0.5,0.0,5.6,9.5,0.4,80,61,1.0,2.6,北西,4.0,北西,0.3,--,--,曇一時晴,雨一時曇
200001,10,1014.0,1016.0,17.5,5.0,1.5,9.2,15.4,6.0,74,49,3.1,7.2,北北西,13.5,西北西,4.4,--,--,晴一時雨,晴時々曇
200001,11,1020.7,1022.8,--,--,--,6.9,10.6,2.6,49,34,4.2,7.0,北西,12.7,北西,9.3,--,--,快晴,曇
200001,12,1018.7,1020.8,6.5,2.5,1.0,6.3,9.1,2.3,72,51,1.2,2.7,北北西,4.4,北北西,--,--,--,曇後時々雨,雨
200001,13,1007.2,1009.2,11.5,3.5,1.0,9.5,10.8,7.1,100,97,1.2,2.6,東北東,4.4,北北西,--,--,--,雨時々曇、霧を伴う,曇時々雨後一時晴、霧を伴う
200001,14,1011.7,1013.7,0.5,0.5,0.5,9.7,13.2,6.1,69,47,3.4,8.2,北西,14.3,北西,5.7,--,--,晴一時雨,晴
200001,15,1018.4,1020.5,--,--,--,7.6,13.8,2.6,59,34,3.5,8.4,西北西,14.6,北西,9.3,--,--,晴,晴一時薄曇
200001,16,1017.7,1019.7,7.0,2.0,0.5,6.7,10.8,1.7,76,53,1.2,2.8,西北西,4.0,北西,0.5,--,--,曇一時雨,雨
200001,17,1010.9,1013.0,3.0,2.0,0.5,8.9,13.8,5.8,81,57,2.0,4.6,西北西,7.4,北西,6.7,--,--,晴後曇一時雨,薄曇後晴
200001,18,1011.7,1013.8,--,--,--,7.8,13.2,2.7,53,33,4.2,7.0,西北西,11.7,西,9.5,--,--,快晴,晴
200001,19,1011.8,1013.8,0.0,0.0,0.0,6.1,12.3,-0.8,65,30,1.7,6.1,西北西,9.7,西北西,9.1,--,--,快晴,晴一時曇
200001,20,1014.7,1016.8,0.5,0.5,0.5,3.6,7.5,-0.9,62,35,4.8,9.4,西北西,16.3,西北西,4.8,1,1,晴,晴一時雪
200001,21,1025.0,1027.1,0.0,0.0,0.0,0.7,3.9,-1.0,68,43,4.2,9.0,北北西,15.0,北西,7.4,0,1,晴一時雪,晴
200001,22,1029.9,1032.0,--,--,--,2.4,8.4,-2.6,67,40,2.2,5.0,西北西,8.6,西,7.5,--,--,晴後時々薄曇,曇後一時雪
200001,23,1023.2,1025.3,18.0,4.0,1.0,3.1,4.9,0.8,94,72,1.6,4.1,北北西,6.2,北北西,--,0,--,みぞれ一時雪後雨,曇
200001,24,1018.1,1020.2,0.0,0.0,0.0,6.9,11.6,3.0,89,62,1.9,3.9,西,7.7,西,1.1,--,--,曇,曇
200001,25,1016.2,1018.3,0.0,0.0,0.0,5.6,10.1,0.9,58,32,4.0 ,7.1,西北西,12.1,北西,7.0,--,--,晴一時曇,晴
200001,26,1017.0,1019.1,--,--,--,2.4,7.6,-0.9,48,26,2.9,6.7,西北西,10.1,西北西,9.6,--,--,晴,快晴
200001,27,1019.9,1022.0,--,--,--,1.1,6.9,-3.6,62,29,3.2,7.3,北西,14.5,北西,9.1,--,--,晴,快晴
200001,28,1026.4,1028.5,--,--,--,2.7,9.6,-3.3,60,32,2.7,7.2,北西,13.1,北西,9.9,--,--,快晴,快晴
200001,29,1029.9,1032.0,--,--,--,3.8,11.0,-2.5,62,31,1.2,2.9,南東,5.3,南南東,8.9,--,--,晴後一時薄曇,晴一時曇
200001,30,1024.0,1026.1,0.0,0.0,0.0,3.5,6.0,-0.4,80,56,1.3,2.7,北北西,4.7,北北西,--,--,--,雨時々曇,曇時々雨一時晴
200001,31,1021.7,1023.8,0.0,0.0,0.0,4.0,8.3,0.8,67,43,3.9,8.0,北西,16.0,北西,7.5,--,--,晴一時曇,晴一時曇
200002,1,1024.2,1026.3,--,--,--,3.2,7.7,-0.7,58,40,3.7,7.3,西北西,12.0,西北西,9.0,--,--,晴,晴一時曇
