年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1020.8,1023.0,0.0,0.0,0.0,8.5,11.7,6.4,54,39,7.2,12.6,北西,17.8,北北西,8.9,--,--,晴,晴
200001,2,1016.7,1018.9,--,--,--,6.8,9.3,2.6,57,43,1.6,7.2,北西,11.2,北西,0.2,--,--,曇一時晴,曇
200001,3,1012.8,1014.9,--,--,--,9.5,15.1,4.7,63,36,4.4,8.9,北西,14.5,西,3.0,--,--,晴時々曇,晴
200001,4,1019.2,1021.4,0.0,0.0,0.0,8.6,11.6,5.7,57,49,5.5,10.4,北西,15.3,北北西,5.4,--,--,晴,晴
200001,5,1021.6,1023.8,--,--,--,6.9,10.5,3.5,65,47,2.1,4.6,西南西,7.1,西,7.6,--,--,晴一時薄曇,曇後一時雨
200001,6,1015.4,1017.6,4.0,1.0,0.5,8.9,11.2,6.1,82,67,2.3,5.7,北北西,7.3,北北西,--,--,--,雨時々曇,霧雨後曇、雷を伴う
200001,7,1012.5,1014.7,1.5,1.0,1.0,10.3,14.4,5.4,71,55,5.1,8.9,北西,13.7,北西,1.2,--,--,曇時々雨,晴
200001,8,1019.1,1021.3,--,--,--,6.2,11.4,3.5,58,39,3.0,6.7,北北西,10.8,西,4.0,--,--,曇時々晴,晴
200001,9,1019.8,1022.0,3.0,2.0,0.5,7.1,11.5,2.3,70,44,2.4,4.8,西北西,6.1,北西,1.1,--,--,曇,雨一時曇
200001,10,1013.5,1015.7,9.0,4.0,2.0,9.3,14.6,6.1,71,50,7.8,18.7,北西,25.9,北西,4.6,--,--,晴一時雨、大風を伴う,晴時々曇
200001,11,1020.8,1023.0,--,--,--,6.9,9.5,3.2,49,38,7.6,12.3,北西,18.8,北北西,7.3,--,--,晴,晴後曇
200001,12,1018.7,1020.9,1.0,0.5,0.5,6.4,8.3,3.5,67,45,1.5,3.6,西南西,5.9,西,--,--,--,曇後一時雨,雨時々曇
200001,13,1007.2,1009.3,4.5,2.0,1.0,10.3,13.0,8.0,91,75,2.3,8.3,西,13.1,西,--,--,--,雨、霧を伴う,曇一時雨
200001,14,1011.9,1014.1,0.0,0.0,0.0,10.8,14.4,7.4,61,37,6.5,12.1,北西,18.6,北西,6.4,--,--,晴後一時曇,曇後晴
200001,15,1018.6,1020.8,--,--,--,8.4,12.6,4.9,57,40,5.5,10.3,北西,16.8,北西,8.7,--,--,晴,晴一時曇
200001,16,1017.5,1019.7,6.0,2.0,1.0,6.3,10.0,1.8,69,47,1.7,4.0,西南西,6.0,西南西,0.1,--,--,曇後一時雨,雨
200001,17,1010.9,1013.1,7.5,2.5,0.5,9.2,14.0,6.8,70,50,4.0,7.4,北西,12.3,北西,7.9,--,--,晴,晴
200001,18,1011.9,1014.1,--,--,--,7.8,11.5,4.4,53,37,7.2,10.5,北西,15.9,北西,9.0,--,--,晴,晴一時曇
200001,19,1012.0,1014.2,0.0,0.0,0.0,6.1,9.6,1.4,62,48,2.6,6.4,西,12.3,西,7.8,--,--,晴,晴時々曇一時雨
200001,20,1015.4,1017.6,0.0,0.0,0.0,4.2,6.9,0.8,41,26,8.2,14.9,西,24.7,西北西,9.5,--,--,晴,晴後一時雪
200001,21,1025.2,1027.5,0.0,0.0,0.0,0.8,3.3,-0.6,69,47,5.8,12.3,北西,18.7,北北西,2.8,0,--,雪時々晴,晴時々雪
