年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1023,1025.1,1,0.5,0.5,4.8,9,0.5,78,48,2.3,6.5,北北西,11.1,北,3.4,--,8,曇時々雨後晴,晴
200001,2,1015.8,1017.9,--,--,--,4.5,10.9,-1.3,74,42,2.2,4.5,南南東,6.3,南東,6.2,--,2,晴時々薄曇,晴後雨
200001,3,1013.2,1015.3,11,3,2,7.9,11.5,4.9,78,51,2.5,7.9,西南西,19.3,西南西,0.2,--,--,雨時々曇,雨時々曇
200001,4,1021,1023.1,0.5,0.5,0.5,5.9,9.7,4,80,51,2,4.8,北,7.9,北,1.6,--,--,曇一時雨,曇
200001,5,1021.9,1024,--,0,--,5.4,10.4,1,75,45,1.9,3.7,北,7.5,北北東,6.4,--,--,薄曇一時晴,曇
200001,6,1012.7,1014.7,5.5,3.5,1.5,12,16.3,5.3,69,52,4.4,9.7,南南東,17.4,南南東,3,--,--,晴後曇時々雨,雨時々曇
200001,7,1014.4,1016.5,7,3.5,2,8.5,12.9,4.7,81,58,2.3,5.9,西,10.1,西北西,0.1,--,--,雨時々曇,雨一時曇
200001,8,1019.2,1021.3,8.5,3,1,5.2,7.6,4,83,59,2,3.9,南南西,6.8,南南東,0.1,--,--,雨一時曇,雨
200001,9,1019.7,1021.8,4.5,2.5,1,6.9,10.1,4.3,83,62,1.4,2.7,南西,5,南東,0.4,--,--,曇,雨一時曇
200001,10,1015.7,1017.8,21,6,1.5,7.3,10.4,4.1,82,62,2.5,5.3,北西,11.9,北西,0.2,--,--,雨時々曇,曇時々雨
200001,11,1023.8,1025.9,0,0,0,4.4,5.9,0.7,65,52,4.1,7.6,北,12.5,北,--,--,--,曇一時雨,曇一時晴
200001,12,1018.8,1020.9,2.5,1.5,0.5,4.1,7.6,0.4,76,55,1.2 ),3,西南西,4.9,南西,--,--,--,曇後一時雨,雨後一時曇
200001,13,1007.4,1009.4,9,3,1,8,11.5,5.3,92,78,1.5,5.6,西南西,11.5,西南西,--,--,--,雨一時曇,曇時々雨
200001,14,1013.6,1015.7,2.5,1.5,1,8.2,10.8,5,77,51,2.3,6,北西,11.7,北西,1.2,--,--,曇時々雨,曇時々雨一時晴、霧を伴う
200001,15,1020.5,1022.6,1,1,0.5,4.9,10.2,1.8,82,52,2.3,6.4,北,10.4,北,3,--,--,曇時々雨一時晴、霧を伴う,晴一時薄曇
200001,16,1018.9,1021,5.5,1.5,0.5,3.2,7.3,-0.8,85,57,1.4,2.8,南,4.2,南,1.7,--,--,曇一時晴後雨,雨後曇
200001,17,1012.9,1014.9,1,1.5,0.5,7,11.5,3.2,73,38,3.7,7.3,北北東,13.5,北,6,--,--,曇時々晴,曇一時雨
200001,18,1014.3,1016.4,0,0,0,4.9,8.6,0.9,70,56,3.1,7.1,北,11.6,北,2.2,--,--,曇時々雨一時晴,晴
200001,19,1011.6,1013.7,2,1.5,0.5,4.7,11.1,-1.1,73,38,3.2,6.3,南南西,11.9,西南西,8.5,--,--,晴後一時雨,雨後一時みぞれ、雷・あられを伴う
200001,20,1015.6,1017.7,12,4,1.5,2.3,5.1,0.1,78,65,6.2,10,西南西,21,西南西,1.7,5,5,雪一時みぞれ、あられを伴う,雪一時曇、あられを伴う
200001,21,1026.9,1029,2.5,0.5,0.5,0.4,2.6,-1.3,70,43,5.2,8.8,北北西,19,北西,1.9,1,7,雪時々曇一時晴、あられを伴う,曇時々雪
200001,22,1030.6,1032.8,0,0,0,1,4.3,-1.7,79,54,1.6,3.9,北北東,7.7,北北東,0.1,0,6,曇一時雪,曇後一時みぞれ
200001,23,1021.5,1023.6,5.5,1.5,0.5,3.6,5.3,0.1,89,78,2.9,6.1,南南東,9,南東,--,0,2,雨後一時曇,曇後時々雨
200001,24,1019.5,1021.6,4,1.5,0.5,5.9,8.6,3.3,89,77,2.2,7.5,北北西,13,北北西,--,--,--,雨時々曇,雨後一時雪
200001,25,1019.5,1021.6,0,0,0,1.5,3.9,-1.1,70,52,5.9,9.1,北,16.6,北,4.7,0,0,晴時々曇,雪一時曇
200001,26,1018.6,1020.7,2.5,1,0.5,0.1,3.1,-1.5,75,51,2.9,5.8,北,9.6,北,2,4,5,雪後曇一時晴,曇後時々雪
200001,27,1021.7,1023.9,6.5,2.5,1,-0.4,2.1,-1.8,86,68,2,4.6,北北西,8.9,北北西,3,11,7,雪時々曇,雪一時曇
200001,28,1028.2,1030.3,0.5,0.5,0.5,1.3,6.4,-2.4,81,52,1.8,4.7,北北西,7.4,北西,5.5,2,11,曇時々晴一時雪,晴一時曇
200001,29,1029.7,1031.8,--,--,--,3.2,10,-1.7,74,38,2.1,4.7,南南西,6.1,南西,8.1,0,--,晴後薄曇,曇時々晴
200001,30,1023.5,1025.6,4.5,2,0.5,4.7,7.5,0.4,78,56,3.1,8,西北西,16.4,西,--,--,--,雨,雨後みぞれ、雷・あられを伴う
200001,31,1024.1,1026.3,8,3.5,1,1.6,3,0.2,83,64,3.9,7.7,北,14,北北西,--,0,1,みぞれ後雪,雪一時曇
200002,1,1025.9,1028,1.5,0.5,0.5,1,3.1,-0.3,87,72,1.5,2.9,北,5.8,北,0.4,2,3,雪後一時曇,曇後一時雪
200002,2,1023.2,1025.3,4,2,1,2.1,5.4,-0.3,87,68,2.1,5.1,南,7.8,南南西,1.3,0,--,曇後時々雨一時みぞれ,曇後時々みぞれ
200002,3,1021,1023.1,5,4,1,3.2,5.7,1.5,90,75,1.9,4,南南東,6.4,西南西,0.1,0,--,雨時々曇,曇後みぞれ一時雪、あられを伴う
200002,4,1022.5,1024.6,16,7,1.5,3.1,6.5,0.4,77,45,3,7.3,北西,14.5,北西,1.3,1,2,みぞれ後曇時々雪,曇
200002,5,1024.5,1026.6,--,--,--,4,9.6,1.2,72,44,2,3.9,南,6.4,北北西,9.6,0,--,晴一時曇,晴後曇
200002,6,1012.6,1014.7,7,1.5,1,5,8.5,1.3,85,68,2.8,6,南東,11.9,西,--,--,--,雨,雨
