年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1022,1022.4,1,0.5,0.5,0.7,2.1,-0.8,85,64,3,6.5,北西,10.3,西北西,0.6,2,17,曇時々雪,曇時々雪
200001,2,1020.3,1020.7,0,0,0,0.4,2.6,-1.1,70,51,2.8,7.1,南東,13.5,南東,2.7,2,17,雪後曇一時晴,曇後時々雪
200001,3,1007.6,1008,1,0.5,0.5,3.3,4.9,1.4,77,52,2.7,8.4,南東,15.6,東南東,0.5,0,16,曇時々雨一時雪,雨時々曇
200001,4,1013.3,1013.7,22,4.5,1,2.2,3.8,1,93,84,2.5,7.5,北東,10.8,北北東,0.1,0,15,雨一時みぞれ,みぞれ時々曇一時雨
200001,5,1025,1025.4,1,0.5,0.5,1.6,4,-1.5,86,66,2.6,4.7,南西,8.5,西北西,1.2,0,14,曇一時晴、みぞれを伴う,晴
200001,6,1019,1019.4,0,0,0,2.3,6.5,-3.6,79,61,2.9,7.9,南東,16.1,南東,1.6,--,13,曇後一時雨,雨一時曇
200001,7,1009.5,1009.9,14.5,3.5,1.5,3.1,7.2,0.4,90,76,4.1,9.8,西,18.7,西,0.1,1,10,雨後時々雪,雪時々曇
200001,8,1015.8,1016.2,13,3,1.5,0.3,1.2,-0.5,89,74,2.6,6.5,西南西,12,西南西,--,16,28,雪,雪
200001,9,1022.2,1022.6,1.5,1,0.5,1.3,3.7,-1,83,59,2.9,6,南西,10.3,南西,5.5,13,32,晴時々曇一時雪,曇後一時雨
200001,10,1010.4,1010.8,17,4.5,1.5,2,5.1,0.1,91,71,3.3,11.2,西北西,21.2,西北西,0.2,0,19,雨後一時曇、あられを伴う,雪一時みぞれ
200001,11,1018.9,1019.3,4,1,0.5,-1.7,1,-3.3,74,54,7.6,11,北西,20.6,西北西,0.5,8,20,雪、あられを伴う,雪一時曇
200001,12,1025.4,1025.8,0,0,0,-1.6,0,-3.7,74,52,3.7,9.8,西北西,16.8,西,0.1,0,18,雪後時々晴,曇後雪
200001,13,1012.5,1012.9,3.5,1.5,0.5,1.5,4.7,-3.3,93,79,1.8,6.3,東北東,9.7,北東,--,4,20,曇時々雨一時雪,雨一時霧雨後曇
200001,14,1007,1007.4,6.5,2.5,1,3.6,5.5,2.2,91,78,3,7.6,西北西,14.4,西北西,--,--,14,雨一時曇,曇一時雨後時々みぞれ
200001,15,1020.7,1021.1,0,0,0,1.7,4.3,-1.4,82,63,2.5,4.9,南西,6.4,南西,0.5,0,11,曇一時雨後時々晴,晴一時曇
200001,16,1020.4,1020.8,1,1,1,1.1,5.2,-3.1,76,56,1.8,5.7,西南西,8.6,西南西,3.2,--,10,曇一時晴,曇一時雨後時々雪、あられを伴う
200001,17,1016.2,1016.6,1,0.5,0.5,1.4,3.8,-0.7,72,48,3.1,7.6,西北西,11.2,西北西,2.2,2,10,曇一時雪,雪一時曇
200001,18,1015,1015.4,2.5,1.5,0.5,0.6,3.8,-1.4,83,50,2.7,6.9,西,11.3,西,4.9,8,15,曇時々雪一時晴,曇時々雪後晴
200001,19,1012.2,1012.6,1.5,1.5,0.5,1.9,5.2,-2.3,70,47,3.4,7.1,東,10.7,東,4,1,15,晴時々曇一時雪,曇後時々みぞれ一時雪
200001,20,1006.1,1006.5,9.5,3,1,1.7,3.5,0.5,84,46,3,10.8,北,19,北北西,0.2,2,12,雪時々曇一時雨、あられを伴う,曇一時雪、あられを伴う
200001,21,1015.7,1016.1,2.5,2,1,-0.7,2.2,-3.5,70,47,6,11.2,北,18.4,北北東,--,4,15,曇時々雪,雪時々曇
200001,22,1027.8,1028.2,1.5,0.5,0.5,-1.5,0.7,-4,79,61,4.5,7.2,南西,12.1,南西,1.1,5,18,雪,曇時々雪
200001,23,1019.9,1020.3,9.5,3,1,1,4.4,-1.2,84,61,3.7,7.7,西南西,14.7,南西,0.8,1,17,雨一時晴、みぞれを伴う,雪、みぞれを伴う
200001,24,1017.9,1018.3,6.5,1,0.5,-1.5,0.4,-5.5,88,60,4.7,9,北西,15.7,北西,--,27,32,雪,雪
200001,25,1016.9,1017.3,9,1.5,0.5,-6.6,-5.2,-7.4,83,61,4.8,8.3,北西,13.5,西北西,--,26,44,雪,雪
200001,26,1017.7,1018.1,11.5,2,0.5,-5.8,-4,-7.5,87,71,3.1,5.2,南西,8.4,西南西,--,24,53,雪,曇時々雪後一時晴
200001,27,1021,1021.4,0,0,0,-5.1,-1.7,-10.1,78,57,3,4.6,南西,7.3,西南西,5.3,0,48,晴時々曇後一時雪,雪一時曇
200001,28,1024.2,1024.6,0.5,0.5,0.5,-0.3,2.2,-3.2,81,61,4.1,6.6,南西,10.9,南西,0.3,3,40,雪一時曇,曇
200001,29,1029.1,1029.5,--,--,--,2,5.2,-0.7,68,52,3.9,7.2,南西,12.7,西南西,5.4,--,35,晴後一時曇,曇一時晴
200001,30,1016.9,1017.3,4.5,1.5,0.5,2.7,4.6,-0.8,75,54,5.6,9.7,西北西,18.4,西北西,--,0,29,雨後一時みぞれ、あられを伴う,曇時々雪
200001,31,1018.5,1018.9,2,1.5,0.5,-1.6,-0.5,-2.7,71,47,4.7,9,北,14.6,北北西,0.9,6,29,曇時々雪,雪一時曇
200002,1,1019.5,1019.9,0,0,0,0.2,2.1,-2.4,69,62,6.8,10.9,西南西,18.5,西,--,0,29,雪時々曇,曇
200002,2,1018.6,1019,0,0,0,2.8,4.7,1.2,65,52,4.8,8.6,西南西,14.3,西南西,1.1,0,25,曇後時々雨、あられを伴う,曇後一時雪、あられを伴う
200002,3,1019.1,1019.5,0,0,0,2.7,5.7,0.6,64,48,3.6,7.3,西,11.8,西,3.8,0,24,晴時々曇,曇一時雪
200002,4,1019.1,1019.5,0,0,0,1.8,4,0.1,72,54,2.7,4.8,西南西,8.3,北,2.6,0,22,曇時々雪一時晴,曇後雪
