年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1020.3,1023.0,1.5,1.0,0.5,1.4,4.0,0.1,84,59,3.4,7.7,西北西,12.6,西北西,0.5,1,1,雪時々曇,曇時々雪
200001,2,1017.2,1019.8,0.0,0.0,0.0,2.1,4.9,0.3,66,47,3.6,9.0,東南東,17.3,南東,6.6,0,0,晴一時雪,曇後一時雪、みぞれを伴う
200001,3,1005.7,1008.3,16.0,9.0,3.5,4.5,8.8,0.9,78,48,9.0,15.0,西南西,23.9,西南西,0.6,0,0,雨一時曇、大風・雷を伴う,雨一時曇、大風を伴う
200001,4,1013.1,1015.7,9.5,2.5,1.5,5.8,7.4,4.1,76,59,8.8,12.5,西,23.0,西,0.4,0,--,雨、あられを伴う,雨一時曇、あられを伴う
200001,5,1022.4,1025.1,2.5,2.0,1.0,4.0,6.9,2.1,79,57,2.6,7.3,北北西,13.2,北,2.0,0,--,曇時々雨一時晴,曇後晴
200001,6,1015.3,1017.9,1.5,0.5,0.5,5.4,9.1,0.2,76,58,6.3,10.1,東南東,18.1,東南東,2.5,--,--,晴後曇一時雨,雨
200001,7,1008.8,1011.4,33.0,6.0,1.5,5.7,9.9,2.0,85,61,6.7,13.1,西,24.4,西,--,0,--,雨、みぞれを伴う,雪時々雨一時曇、あられを伴う
200001,8,1013.8,1016.5,14.5,3.0,1.0,1.2,3.9,0.3,90,59,3.3,10.3,西,18.6,西北西,--,4,4,雪,雪、あられを伴う
200001,9,1020.0,1022.7,1.5,0.5,0.5,1.6,3.1,0.3,88,78,2.9,4.2,南東,7.1,東南東,0.3,3,6,雪後一時曇、みぞれを伴う,曇後一時雨
200001,10,1009.7,1012.3,9.5,3.0,1.5,3.7,8.7,1.7,81,49,6.3,13.3,西北西,24.0,西,--,0,1,雨,雪時々曇
200001,11,1019.8,1022.5,0.0,0.0,0.0,0.6,2.4,-1.4,56,40,9.2,13.6,西北西,24.8,西,--,0,0,雪一時曇、あられを伴う,曇一時雪
200001,12,1022.9,1025.6,0.0,0.0,0.0,1.7,3.7,0.3,55,42,4.4,8.3,東南東,15.7,西北西,3.1,0,--,晴時々曇,雨時々曇
200001,13,1008.7,1011.3,5.0,1.0,0.5,3.5,5.6,0.5,90,83,3.1,7.9,東南東,13.7,東,--,0,--,雨時々曇,曇時々雨
200001,14,1005.8,1008.3,10.0,6.0,2.5,5.9,10.3,3.2,82,63,6.1,13.9,北西,26.7,北西,0.2,--,--,雨一時曇,曇一時雨、あられを伴う
200001,15,1018.4,1021.1,0.0,0.0,0.0,4.0,7.5,1.0,72,44,3.0,5.9,北,10.3,北北西,2.0,0,--,曇時々晴,曇一時晴
200001,16,1018.4,1021.1,1.5,1.0,0.5,2.5,5.0,0.4,83,67,3.0,5.2,南東,8.7,南東,0.7,0,--,曇時々雨,曇時々雨後一時雪、あられを伴う
200001,17,1014.5,1017.1,0.0,0.0,0.0,2.7,5.3,1.2,68,48,2.4,5.8,北,9.4,北北西,1.4,0,--,曇時々晴一時雪,雪時々曇一時晴、あられを伴う
200001,18,1013.5,1016.2,1.0,0.5,0.5,1.5,5.2,-0.2,74,41,2.6,6.9,北西,12.0,北西,3.5,0,0,雪時々曇一時晴、あられを伴う,曇時々雪一時晴、あられを伴う
200001,19,1009.9,1012.6,5.0,3.5,1.5,3.0,7.2,-1.0,67,40,3.9,8.2,南東,14.9,東南東,5.2,0,0,曇時々晴,雨時々曇一時みぞれ、雷を伴う
200001,20,1004.8,1007.4,5.5,2.5,1.0,2.6,7.2,0.7,82,47,5.9,18.3,南西,28.5,西南西,0.2,0,0,雪時々曇一時雨、大風・雷を伴う,雪一時あられ、大風を伴う
200001,21,1015.3,1018.0,13.0,2.5,1.0,-0.8,2.7,-3.1,81,44,8.7,18.0,北西,30.7,西北西,--,23,18,大雪、あられを伴う,雪
200001,22,1027.1,1029.8,0.5,0.5,0.5,-0.9,1.7,-3.0,76,50,4.1,11.8,北西,18.7,北西,0.5,1,17,曇時々雪、あられを伴う,雪一時あられ
200001,23,1019.2,1021.9,12.5,3.0,1.0,0.4,4.3,-1.2,92,83,2.9,6.6,東南東,11.0,南西,--,5,17,雨一時みぞれ、あられを伴う,雪時々みぞれ一時曇
200001,24,1016.8,1019.5,2.0,1.0,0.5,0.7,3.3,-2.7,74,48,4.8,11.2,西北西,19.5,西北西,--,2,12,曇後雪,雪時々曇
200001,25,1016.1,1018.8,0.0,0.0,0.0,-3.6,-1.7,-6.1,60,44,8.1,11.5,西北西,20.3,北西,0.6,0,11,雪一時曇,雪一時曇、あられを伴う
200001,26,1015.9,1018.6,2.0,0.5,0.5,-4.2,-1.5,-5.9,78,47,4.5,8.3,北西,15.1,北西,1.4,6,16,雪一時曇、あられを伴う,雪時々曇
200001,27,1019.0,1021.7,0.5,0.5,0.5,-3.6,-0.5,-7.5,79,56,2.3,4.4,北北東,7.7,北北東,6.2,1,15,晴後雪、あられを伴う,雪、あられを伴う
200001,28,1023.3,1026.0,4.5,1.5,0.5,-1.1,1.2,-3.5,86,67,2.3,4.0,東南東,6.4,南東,0.9,9,24,雪、あられを伴う,雪時々曇後晴
200001,29,1028.2,1030.9,0.0,0.0,0.0,0.5,5.5,-3.6,84,58,2.3,5.0,南東,7.3,南東,1.8,0,18,曇時々晴,晴後曇
200001,30,1016.8,1019.4,15.5,10.0,3.5,2.3,5.9,-0.4,73,45,5.7,12.4,西北西,21.8,北西,0.1,0,15,雨時々曇一時みぞれ,曇後時々雪
200001,31,1017.2,1019.9,12.0,3.5,1.0,-0.5,2.4,-2.5,73,42,5.4,12.2,西北西,21.9,西,0.1,23,31,雪,雪
200002,1,1019.8,1022.5,1.5,0.5,0.5,2.1,4.4,-1.9,67,50,7.5,10.3,西南西,16.4,西,--,1,30,雪後一時みぞれ、あられを伴う,雨一時曇、あられを伴う
200002,2,1017.6,1020.3,0.0,0.0,0.0,3.4,5.1,1.5,69,52,4.5,8.9,西南西,14.9,西南西,0.4,0,19,曇時々雨、あられを伴う,雪時々曇一時あられ
200002,3,1017.7,1020.4,0.5,0.5,0.5,2.6,6.9,0.6,74,45,3.0,7.1,西,11.9,西,2.6,0,14,曇時々雪後一時雨、あられを伴う,曇一時雪
200002,4,1017.5,1020.1,0.0,0.5,0.0,1.8,5.5,-0.6,77,49,2.7,6.3,北北西,11.0,北北西,5.7,0,9,曇時々雨一時晴、みぞれを伴う,曇一時雨後時々雪
200002,5,1021.9,1024.6,0.5,0.5,0.5,3.2,5.4,0.9,62,40,5.3,8.7,西北西,15.9,北西,4.0,0,8,曇後晴,晴後曇
200002,6,1012.6,1015.3,--,--,--,2.2,5.8,-0.4,65,47,2.3,4.7,南東,7.1,南東,0.8,--,4,曇,晴後雪
200002,7,1002.1,1004.7,5.0,2.5,1.5,1.9,4.1,0.2,89,74,3.1,5.6,東,10.3,南東,0.9,3,4,曇一時みぞれ、あられを伴う,曇後時々みぞれ一時雪、霧を伴う
200002,8,993.4,996.0,20.5,5.5,1.5,2.2,6.1,0.3,89,70,2.4,5.0,南南東,9.3,南南東,0.7,2,5,曇後雨、みぞれを伴う,雪
200002,9,999.2,1001.9,2.0,0.5,0.5,0.3,1.6,-1.3,80,48,5.8,12.9,北,19.8,北,0.5,5,7,雪、あられを伴う,雪時々曇
200002,10,1009.8,1012.4,0.5,0.5,0.5,1.3,4.0,-2.0,62,44,6.9,10.5,西,18.7,西北西,2.9,3,7,雪時々曇、あられを伴う,雪後曇一時晴
200002,11,1008.9,1011.5,0.5,0.5,0.5,2.2,4.5,0.3,64,43,4.9,10.1,西,18.4,西,1.1,1,5,曇一時雪,雪後曇
200002,12,1009.0,1011.6,8.5,5.0,1.5,1.5,3.9,-1.1,65,42,6.4,11.0,西北西,19.2,西北西,0.6,7,10,雪時々曇、あられを伴う,雪時々晴一時曇
