年月,日,1-1氣壓(hPa)-平地平均,1-2氣壓(hPa)-海面平均,2-1降水量(mm)-合計,2-2降水量(mm)-一小時內最大,2-3降水量(mm)-10分鐘內最大,3-1氣温(℃)-平均,3-2氣温(℃)-最高,3-3氣温(℃)-最低,4-1湿度(％)-平均,4-2湿度(％)-最小,5-1風向・風速(m/s)-平均風速,5-2風向・風速(m/s)-最大風速,5-3風向・風速(m/s)-最大風向,5-4風向・風速(m/s)-最大瞬間風速,5-5風向・風速(m/s)-最大瞬間風向,6日照時間(h),7-1雪(cm)-降雪,7-2雪(cm)-最深積雪,8-1天気概況-晝,8-2天気概況-夜
200001,1,1015.7,1021.1,0.0,0.0,0.0,3.7,6.8,1.0,65,41,4.0,8.3,北西,16.9,北北西,3.5,0,--,晴一時雨,曇時々雪一時晴
200001,2,1015.1,1020.5,0.0,0.0,0.0,4.0,6.7,2.1,54,38,1.9,4.3,南東,8.1,南東,5.2,0,--,曇時々晴,曇後雨、みぞれを伴う
200001,3,1004.8,1010.1,4.0,2.0,0.5,4.2,8.3,1.4,77,51,4.7,12.9,西北西,26.1,西北西,0.7,0,--,雨時々晴,晴時々雨、大風を伴う
200001,4,1009.5,1014.8,0.0,0.0,0.0,6.3,8.8,4.0,56,46,8.0,15.0,西北西,28.5,西,9.0,--,--,晴,快晴
200001,5,1018.9,1024.3,0.0,0.0,0.0,5.6,8.9,1.7,64,48,3.0,10.2,西北西,18.3,西北西,3.5,--,--,晴後曇,曇後雨
200001,6,1015.9,1021.3,2.5,1.0,0.5,4.6,6.2,3.3,89,74,3.7,5.9,北北西,9.7,北北西,--,--,--,雨,曇時々雨
200001,7,1005.0,1010.3,1.5,1.5,0.5,7.8,13.9,3.0,75,51,4.5,10.8,北西,19.1,西北西,2.8,--,--,曇時々雨,晴
200001,8,1010.5,1015.8,0.0,0.0,0.0,6.4,11.7,1.2,62,34,3.5,10.9,西,18.8,西,8.2,--,--,晴,晴後一時曇
200001,9,1016.8,1022.2,0.0,0.0,0.0,5.3,7.4,3.7,69,56,2.7,6.3,北,9.6,北,1.4,--,--,曇一時雨,曇後雨
200001,10,1006.4,1011.8,6.5,2.0,0.5,6.3,13.8,1.9,77,48,4.6,12.5,西北西,23.0,西北西,3.8,--,--,晴時々雨,晴時々雨
200001,11,1014.1,1019.5,0.0,0.0,0.0,2.9,4.8,0.5,54,41,8.4,15.2,西北西,26.0,西北西,8.7,0,--,晴時々雪、大風を伴う,晴時々曇一時雪
200001,12,1020.5,1025.9,4.5,1.5,0.5,2.6,5.8,0.4,61,43,2.4,7.0,北西,11.0,西北西,4.4,0,1,薄曇,雪後雨
200001,13,1006.2,1011.6,22.0,3.0,1.0,3.2,6.1,0.2,93,91,×,5.2,北北西,9.1,北北西,--,1,3,雨一時曇,雨時々曇一時晴
200001,14,1003.2,1008.5,0.0,0.0,0.0,8.2,13.1,4.7,61,33,4.8,13.5,西,23.5,西南西,7.5,--,--,晴一時雨,薄曇
200001,15,1015.0,1020.4,--,--,--,5.4,9.2,2.1,62,47,2.8,6.1,北西,9.4,北西,3.2,--,--,晴一時曇,晴後一時曇
200001,16,1016.0,1021.4,--,--,--,4.0,7.3,0.4,70,51,1.8,3.7,北北西,6.0,北北西,2.5,--,--,曇,曇時々晴
200001,17,1010.1,1015.4,--,--,--,5.0,9.9,0.7,63,38,3.1,7.0,北,10.2,北西,6.4,--,--,晴,曇
200001,18,1009.2,1014.6,--,--,--,2.8,7.0,0.0,58,37,4.7,7.5,西北西,12.7,北北西,6.0,--,--,晴,晴
200001,19,1008.5,1013.9,--,--,--,3.5,7.5,-2.2,62,38,2.8,6.4,南,10.1,南,9.4,--,--,晴後一時曇,曇後晴
200001,20,1002.3,1007.6,0.0,0.0,0.0,4.6,9.6,1.0,63,31,5.0,11.6,西,21.5,西南西,6.5,--,--,晴一時雨,曇後一時晴
200001,21,1012.3,1017.8,3.5,1.0,0.5,-0.2,2.6,-1.8,74,43,5.1,13.1,西北西,22.4,西北西,1.0,7,6,雪,晴後曇時々雪
200001,22,1023.9,1029.5,0.0,0.0,0.0,0.5,3.8,-2.8,63,44,3.1,7.1,北西,13.2,北西,7.7,0,5,晴時々雪,薄曇一時晴
200001,23,1016.4,1021.8,0.0,0.0,0.0,3.7,9.2,-1.3,61,38,2.1,6.4,南,9.8,南,6.0,--,--,晴後薄曇,晴一時雨
200001,24,1012.0,1017.4,0.0,0.0,0.0,3.8,7.2,0.3,67,55,2.8,7.0,北西,12.6,北西,1.6,--,--,曇一時雨,晴後曇一時雪
