NO,地点名,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,札幌,507,504,511,504,509,0,505,505,504,430,502,504,513,503,501,426,505,503,509,429,505,511,504,507,511,510,509,514,505,504,428,512,503,505,506,503,429,425,502,504,506,506,501,505,501,423,503,508,429,422,501,505,510,508,504,421,501,507,507,501,513,429,422,425,428,426,424,430,422,423
2,帯広,515,507,510,505,509,513,501,511,505,504,507,508,515,513,503,502,507,510,513,503,506,510,512,509,511,511,511,514,504,506,501,519,503,506,504,504,505,501,504,506,508,506,504,508,430,423,503,510,429,424,502,505,504,508,506,426,501,508,503,505,510,427,426,430,501,427,428,502,424,422
3,函館,502,503,508,503,508,504,426,504,430,503,503,505,514,507,503,502,505,506,511,429,502,509,501,509,508,508,507,512,503,507,427,523,504,505,504,502,423,422,428,428,427,430,430,504,427,422,427,503,428,418,428,426,501,507,430,422,425,505,502,502,508,428,421,424,427,425,424,426,420,421
4,青森,0,0,0,426,501,429,419,427,424,425,421,429,503,428,427,424,429,504,428,424,422,501,426,425,502,501,430,504,427,427,421,511,429,501,425,428,415,415,424,422,423,422,424,430,423,416,426,429,423,414,420,418,429,501,425,417,418,428,425,429,429,422,414,417,417,419,418,417,413,416
5,秋田,422,417,416,421,424,422,409,421,419,420,417,418,430,421,422,417,425,427,422,417,419,426,421,423,422,426,418,423,422,420,415,430,419,420,417,423,410,410,416,417,419,419,418,425,417,413,417,420,412,407,416,412,424,421,418,410,414,424,423,424,423,420,411,414,416,417,416,408,404,412
6,盛岡,427,419,418,424,427,424,418,427,422,422,418,418,504,423,426,417,426,428,423,421,420,428,424,426,426,429,424,428,424,423,418,506,425,429,423,427,414,413,417,421,423,421,424,428,423,412,420,422,415,411,416,413,423,424,420,412,413,425,420,424,423,413,409,411,417,417,418,414,409,414
7,仙台,411,406,411,416,416,410,404,412,411,414,412,411,420,411,411,410,414,421,414,408,411,419,414,414,414,421,409,414,413,411,413,428,417,419,410,417,403,403,411,406,409,411,411,417,408,408,408,413,410,329,409,407,414,413,406,405,407,413,412,418,409,407,403,401,407,330,405,328,328,408
8,山形,419,413,412,418,420,417,409,417,417,416,415,414,426,415,418,414,420,424,416,412,416,424,417,418,415,423,412,421,421,416,414,429,419,420,415,420,407,409,412,412,416,415,417,424,413,411,414,419,412,403,414,410,419,418,413,412,411,419,418,423,415,414,410,406,414,404,412,403,402,411
9,福島,409,405,409,414,415,407,403,408,411,409,407,411,418,406,410,406,413,419,409,406,409,417,411,413,412,417,408,413,412,408,410,425,414,417,406,416,401,403,409,405,412,408,409,415,408,407,405,413,408,329,408,403,411,412,402,406,406,409,412,416,405,408,402,330,408,329,405,328,325,404
10,水戸,404,401,329,409,408,404,330,404,406,409,406,406,412,401,402,404,408,413,405,331,405,410,409,405,405,411,329,409,408,401,407,420,407,410,328,406,327,325,405,331,402,405,405,407,329,331,329,403,330,320,401,327,406,330,324,327,327,402,406,406,321,329,330,328,403,325,327,321,320,330
11,宇都宮,406,402,403,410,409,406,331,401,405,407,406,406,411,330,404,404,408,413,405,331,403,408,407,401,401,410,329,407,406,401,407,418,406,411,331,407,327,325,404,330,402,404,404,406,330,330,326,405,328,318,331,327,406,329,326,328,326,402,406,408,321,329,330,328,403,326,328,321,320,327
12,前橋,403,329,329,406,406,401,324,327,402,402,402,405,408,325,331,402,407,411,401,330,403,406,404,329,328,410,328,405,330,327,405,415,405,408,326,405,326,324,331,326,327,402,405,404,328,329,326,404,326,320,331,326,406,328,328,326,330,401,403,408,322,329,328,323,402,325,327,319,321,327
13,熊谷,401,330,330,404,407,401,326,328,403,402,404,404,406,327,401,402,405,410,402,328,401,406,401,330,328,408,327,405,330,328,404,414,404,406,325,404,326,322,329,322,325,401,402,401,326,328,327,331,325,317,328,323,404,327,323,325,325,331,401,404,319,328,327,323,328,322,325,318,319,324
14,東京,326,326,324,326,402,330,324,323,401,401,401,402,402,320,330,329,406,407,330,328,331,402,329,322,322,331,323,331,326,323,331,411,403,403,323,402,320,320,330,324,324,331,331,331,321,327,324,330,323,316,327,318,331,321,320,322,321,322,328,331,316,325,323,321,321,317,321,314,314,320
15,横浜,325,326,324,328,403,325,320,321,331,329,401,404,403,319,330,329,403,404,330,328,331,401,330,325,325,405,324,401,327,323,402,410,401,402,321,402,321,318,329,323,324,401,331,329,325,328,324,329,322,315,327,318,402,321,323,323,322,322,330,402,318,325,323,323,325,319,321,318,317,321
16,長野,417,407,410,414,417,409,405,413,414,415,415,413,424,414,413,414,416,424,414,407,412,417,415,415,415,420,408,418,417,413,413,426,413,420,409,420,406,407,412,409,418,415,417,423,411,410,410,418,410,402,415,406,414,415,407,410,408,409,415,418,406,411,404,403,414,402,413,402,329,409
17,甲府,330,331,329,329,407,401,324,325,402,402,402,403,407,326,401,403,403,409,330,329,401,402,402,326,325,407,327,401,329,327,404,412,330,404,326,404,325,320,329,324,326,401,331,331,322,326,318,331,325,317,327,324,331,324,321,324,320,320,329,401,319,328,325,323,330,323,327,322,318,321
