NO,地点名,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,札幌,514,508,516,509,513,0,510,509,509,505,505,507,516,511,504,504,510,509,513,501,507,513,508,510,512,513,514,518,508,508,501,521,508,509,509,507,504,429,507,510,510,509,503,512,505,426,508,511,505,425,504,509,516,512,508,425,504,514,512,502,517,501,426,501,503,429,429,502,427,425
2,帯広,519,512,514,509,514,516,505,515,509,507,510,510,517,517,505,505,510,513,516,506,509,512,514,511,513,513,517,516,507,509,503,521,506,508,508,507,507,504,506,509,511,508,507,513,503,426,507,512,501,427,503,508,510,512,508,430,504,511,509,507,516,429,428,503,502,428,430,503,427,425
3,函館,509,507,514,508,512,510,502,510,505,508,508,510,516,511,509,507,508,511,514,504,507,512,507,511,512,510,511,515,506,509,430,527,509,508,508,506,501,426,502,502,502,505,503,511,501,424,502,508,503,421,502,430,505,512,504,426,501,510,506,505,512,501,424,426,430,428,429,501,423,425
4,青森,0,0,0,502,507,504,425,501,429,430,426,502,510,505,503,503,504,507,505,429,428,507,501,504,507,504,506,509,501,504,425,518,503,505,501,501,420,423,430,427,428,427,428,503,427,420,430,503,427,416,427,421,502,506,429,421,422,502,428,501,506,425,419,421,421,422,422,421,417,420
5,秋田,429,422,423,426,429,429,417,427,423,424,421,423,508,425,428,424,429,501,429,422,423,430,425,428,427,430,425,428,427,424,419,505,423,425,421,428,415,413,422,422,424,424,423,430,422,416,420,425,418,412,421,416,428,426,423,415,419,428,427,426,429,424,415,419,419,420,420,415,407,416
6,盛岡,503,426,427,428,502,429,421,429,425,425,421,423,508,425,428,423,429,501,428,425,423,502,428,501,501,502,428,504,428,426,422,509,429,501,430,430,418,421,424,426,427,425,428,501,428,416,423,429,418,416,421,417,427,430,429,417,418,502,429,428,502,421,416,418,424,420,422,420,413,418
7,仙台,417,412,416,419,421,415,410,417,416,421,418,419,425,418,418,414,420,425,417,416,418,424,418,419,419,425,412,420,418,416,418,503,423,424,417,421,406,408,415,415,416,415,417,424,411,411,413,418,413,403,414,410,417,418,412,411,410,421,415,423,415,411,409,406,413,404,410,403,331,411
8,山形,427,418,415,421,427,423,416,424,421,422,417,417,502,422,424,421,424,428,423,417,421,428,422,423,422,427,420,427,426,421,418,504,422,424,418,427,413,412,417,416,420,418,421,425,419,413,418,424,415,406,417,413,423,423,419,416,413,425,425,426,419,417,415,410,417,411,417,409,405,413
9,福島,411,409,411,416,419,409,408,414,414,416,413,413,424,414,414,411,414,421,414,411,414,422,415,416,415,422,411,416,415,413,414,428,419,422,410,420,406,407,412,410,416,413,415,423,410,410,411,417,410,402,412,408,416,415,409,411,409,413,415,420,408,411,406,403,412,402,408,401,329,408
10,水戸,409,406,408,415,414,411,406,410,410,415,413,411,416,408,407,410,413,421,412,405,408,414,412,413,411,416,406,414,415,408,414,427,414,416,405,414,403,330,410,406,414,407,411,414,402,408,405,408,405,328,409,331,409,404,402,403,408,407,412,412,401,402,404,406,410,328,405,331,330,406
11,宇都宮,412,407,408,415,414,411,406,408,410,412,412,411,416,407,409,409,413,419,410,405,408,412,411,411,408,416,404,413,412,407,412,424,411,416,408,415,406,402,409,404,411,408,410,415,404,406,405,412,406,325,407,331,409,404,404,403,406,408,412,412,329,404,402,404,409,329,409,403,331,402
12,前橋,417,404,410,413,414,409,404,408,408,410,409,410,416,407,405,409,413,417,410,406,409,411,410,407,404,415,406,412,408,403,410,421,411,414,404,413,402,330,408,402,404,407,411,410,403,401,404,410,404,328,408,331,408,404,407,331,408,406,411,412,401,403,401,401,407,328,407,326,328,401
13,熊谷,409,405,408,413,412,409,404,407,408,410,411,408,413,407,405,406,413,416,408,403,409,412,411,410,403,411,403,412,407,403,410,420,409,412,404,413,404,401,408,401,404,406,409,409,404,407,405,408,403,322,404,331,408,403,401,329,405,406,408,410,326,401,330,401,407,326,404,325,329,330
14,東京,405,401,405,408,410,406,405,401,408,409,406,405,412,405,405,403,410,415,405,401,408,409,406,331,331,409,404,408,408,331,408,417,410,410,405,411,403,326,408,401,402,405,407,407,330,331,402,406,328,321,401,329,406,328,329,327,402,401,406,406,322,330,329,331,402,324,327,322,322,327
15,横浜,331,401,404,409,410,405,403,403,407,409,407,406,410,405,404,401,411,413,405,331,406,406,407,406,403,414,404,409,407,331,408,415,408,409,331,409,401,323,406,331,402,406,407,404,331,404,402,407,329,322,401,330,407,328,330,329,404,402,408,409,322,331,331,402,406,327,401,328,327,328
16,長野,424,413,413,417,423,419,412,423,420,422,418,417,503,423,421,421,422,428,420,417,420,422,419,420,418,425,411,422,423,419,416,429,418,423,416,425,411,411,415,416,421,418,421,426,416,413,413,422,413,405,418,411,419,420,414,416,412,413,421,421,415,417,410,408,417,406,418,413,401,411
17,甲府,408,404,403,407,409,405,330,331,406,408,406,405,412,402,404,406,409,412,402,331,405,406,406,331,401,410,401,405,406,401,408,416,406,412,405,411,401,326,405,401,402,404,407,408,330,330,328,407,402,322,401,331,407,329,330,328,331,328,408,407,326,404,331,403,409,329,407,402,329,328
18,静岡,402,403,330,403,407,404,329,405,406,409,406,405,410,330,402,404,407,410,407,406,406,405,406,330,328,410,405,407,403,329,410,412,404,406,405,412,402,402,410,404,409,409,408,402,330,331,401,406,402,322,328,401,407,327,330,327,327,326,404,401,323,331,401,405,412,327,406,407,328,330
19,名古屋,412,404,403,409,413,407,330,404,406,412,406,407,416,403,405,405,407,412,405,402,408,408,407,401,402,411,407,406,405,331,406,415,406,406,406,410,330,327,405,331,404,405,406,406,330,330,401,408,403,328,331,403,408,406,402,329,403,402,406,406,328,331,330,331,406,327,404,401,328,330
20,岐阜,409,405,401,407,412,408,403,403,407,412,409,409,416,406,405,409,411,415,407,405,408,410,408,402,402,411,405,407,407,330,407,416,405,407,406,410,329,327,406,331,405,405,405,408,330,331,401,410,406,327,331,401,408,405,402,329,401,331,404,406,329,331,330,331,404,326,402,401,327,328
